Time,Attitude Quaternion 1
2023-06-12 03:00:00,-1.0
2023-06-13 03:00:00,0.44
2023-06-14 03:00:00,0.0
2023-06-15 03:00:00,0.23
2023-06-16 03:00:00,0.2
2023-06-17 03:00:00,0.49
2023-06-18 03:00:00,-1.0
2023-06-19 03:00:00,-1.0
2023-06-20 03:00:00,-1.0
2023-06-21 03:00:00,-1.0
2023-06-22 03:00:00,0.029
2023-06-23 03:00:00,-1.0
2023-06-24 03:00:00,-1.0
2023-06-25 03:00:00,-1.0
2023-06-26 03:00:00,0.0
2023-06-27 03:00:00,-1.0
2023-06-28 03:00:00,-1.0
2023-06-29 03:00:00,-1.0
2023-06-30 03:00:00,-1.0
2023-07-01 03:00:00,-1.0
2023-07-02 03:00:00,-1.0
2023-07-03 03:00:00,-1.0
2023-07-04 03:00:00,-1.0
2023-07-05 03:00:00,-1.0
2023-07-06 03:00:00,-1.0
2023-07-07 03:00:00,-1.0
2023-07-08 03:00:00,-1.0
2023-07-09 03:00:00,-1.0
2023-07-10 03:00:00,-1.0
2023-07-11 03:00:00,-1.0
2023-07-20 03:00:00,-1.0
2023-07-21 03:00:00,-1.0
2023-07-22 03:00:00,-1.0
2023-07-23 03:00:00,-1.0
2023-07-24 03:00:00,-1.0
2023-07-25 03:00:00,-1.0
2023-07-26 03:00:00,-1.0
2023-07-27 03:00:00,-1.0
2023-07-28 03:00:00,0.73
2023-07-29 03:00:00,0.36
2023-07-30 03:00:00,0.21
2023-07-31 03:00:00,-1.0
2023-08-01 03:00:00,0.53
2023-08-02 03:00:00,-1.0
2023-08-03 03:00:00,-1.0
2023-08-04 03:00:00,0.029
2023-08-05 03:00:00,-1.0
2023-08-06 03:00:00,-1.0
2023-08-07 03:00:00,-1.0
2023-08-08 03:00:00,0.019
2023-08-09 03:00:00,-1.0
2023-08-10 03:00:00,-1.0
2023-08-11 03:00:00,0.068
2023-08-12 03:00:00,0.87
2023-08-13 03:00:00,0.0
2023-08-14 03:00:00,-1.0
2023-08-15 03:00:00,0.29
2023-08-16 03:00:00,0.0
2023-08-17 03:00:00,0.53
2023-08-18 03:00:00,0.33
2023-08-19 03:00:00,-1.0
2023-08-20 03:00:00,0.41
2023-08-21 03:00:00,-1.0
2023-08-22 03:00:00,-1.0
2023-08-23 03:00:00,-1.0
2023-08-24 03:00:00,-1.0
2023-08-25 03:00:00,-1.0
2023-08-26 03:00:00,-1.0
2023-08-27 03:00:00,-1.0
2023-08-28 03:00:00,-1.0
2023-08-29 03:00:00,-1.0
2023-08-30 03:00:00,-1.0
2023-08-31 03:00:00,-1.0
2023-09-01 03:00:00,-1.0
2023-09-02 03:00:00,-1.0
2023-09-03 03:00:00,-1.0
2023-09-04 03:00:00,-1.0
2023-09-05 03:00:00,-1.0
2023-09-06 03:00:00,-1.0
2023-09-07 03:00:00,-1.0
2023-09-08 03:00:00,-1.0
2023-09-09 03:00:00,-1.0
2023-09-10 03:00:00,-1.0
2023-09-11 03:00:00,0.7
2023-09-12 03:00:00,-1.0
2023-09-13 03:00:00,-1.0
2023-09-14 03:00:00,-1.0
2023-09-15 03:00:00,-1.0
2023-09-16 03:00:00,-1.0
2023-09-17 03:00:00,-1.0
2023-09-18 03:00:00,-1.0
2023-09-19 03:00:00,-1.0
2023-09-20 03:00:00,-1.0
2023-09-21 03:00:00,-1.0
2023-09-22 03:00:00,-1.0
2023-09-23 03:00:00,-1.0
2023-09-24 03:00:00,-1.0
2023-09-25 03:00:00,-1.0
2023-09-26 03:00:00,-1.0
2023-09-27 03:00:00,-1.0
2023-09-28 03:00:00,-1.0
2023-09-29 03:00:00,-1.0
2023-09-30 03:00:00,-1.0
2023-10-01 03:00:00,-1.0
2023-10-02 03:00:00,-1.0
2023-10-03 03:00:00,-1.0
2023-10-04 03:00:00,-1.0
2023-10-05 03:00:00,-1.0
2023-10-06 03:00:00,-1.0
2023-10-07 03:00:00,0.14
2023-10-08 03:00:00,0.17
2023-10-09 03:00:00,0.18
2023-10-10 03:00:00,0.12
2023-10-11 03:00:00,0.12
2023-10-12 03:00:00,0.16
2023-10-13 03:00:00,0.061
2023-10-14 03:00:00,0.44
2023-10-15 03:00:00,0.058
2023-10-16 03:00:00,0.065
2023-10-17 03:00:00,0.0
2023-10-18 03:00:00,0.041
2023-10-19 03:00:00,0.029
