Time,47959.rf_packets_transmitted
2022-09-23 02:20:20,2087110
2022-09-23 02:22:20,2087113
2022-09-23 02:23:21,2087115
2022-09-23 02:24:12,2087116
2022-09-23 02:24:13,2087116
2022-09-23 02:24:21,2087116
2022-09-23 02:24:21,2087116
2022-09-23 02:24:21,2087116
2022-09-23 02:24:21,2087116
2022-09-23 02:25:12,2087118
2022-09-23 02:25:21,2087118
2022-09-23 02:25:21,2087118
2022-09-23 02:25:21,2087118
2022-09-23 02:25:21,2087118
2022-09-23 02:25:21,2087118
2022-09-23 02:26:20,2087120
2022-09-23 02:26:20,2087120
2022-09-23 02:26:22,2087120
2022-09-23 02:26:22,2087120
2022-09-23 02:26:22,2087120
2022-09-23 02:26:22,2087120
2022-09-23 02:26:22,2087120
2022-09-23 02:26:22,2087120
2022-09-23 02:27:22,2087121
2022-09-23 02:27:22,2087121
2022-09-23 02:27:22,2087121
2022-09-23 02:28:22,2087123
2022-09-23 02:28:22,2087123
2022-09-23 02:28:23,2087123
2022-09-23 02:29:23,2087125
2022-09-23 02:30:23,2087126
2022-09-23 03:59:06,2087275
2022-09-23 04:01:06,2087278
2022-09-23 04:03:07,2087282
2022-09-23 04:52:01,2087364
2022-09-23 04:53:01,2087366
2022-09-23 04:54:02,2087367
2022-09-23 04:55:02,2087369
2022-09-23 04:57:03,2087372
2022-09-23 05:09:09,2087393
2022-09-23 10:04:26,2087888
2022-09-23 10:08:27,2087895
2022-09-23 10:25:33,2087923
2022-09-23 11:34:06,2088039
2022-09-23 11:35:59,2088042
2022-09-23 11:36:07,2088042
2022-09-23 11:36:07,2088042
2022-09-23 11:36:08,2088042
2022-09-23 11:38:00,2088046
2022-09-23 11:38:00,2088046
2022-09-23 11:38:08,2088046
2022-09-23 11:38:08,2088046
2022-09-23 11:38:08,2088046
2022-09-23 11:38:08,2088046
2022-09-23 11:39:00,2088047
2022-09-23 11:39:08,2088047
2022-09-23 11:39:08,2088047
2022-09-23 11:39:09,2088047
2022-09-23 11:40:00,2088049
2022-09-23 11:40:01,2088049
2022-09-23 11:40:09,2088049
2022-09-23 11:40:09,2088049
2022-09-23 11:40:09,2088049
2022-09-23 11:40:09,2088049
2022-09-23 11:41:01,2088051
2022-09-23 11:41:02,2088051
2022-09-23 11:41:09,2088051
2022-09-23 11:41:09,2088051
2022-09-23 11:41:09,2088051
2022-09-23 11:41:10,2088051
2022-09-23 11:42:02,2088052
2022-09-23 11:42:10,2088052
2022-09-23 11:42:10,2088052
2022-09-23 11:43:02,2088054
2022-09-23 11:43:10,2088054
2022-09-23 11:43:10,2088054
2022-09-23 11:43:10,2088054
2022-09-23 11:43:10,2088054
2022-09-23 11:44:10,2088056
2022-09-23 13:09:50,2088199
2022-09-23 13:10:42,2088201
2022-09-23 13:10:50,2088201
2022-09-23 13:10:51,2088201
2022-09-23 13:12:51,2088204
2022-09-23 13:12:51,2088204
2022-09-23 13:12:51,2088204
2022-09-23 13:13:44,2088206
2022-09-23 13:13:52,2088206
2022-09-23 13:13:52,2088206
2022-09-23 13:13:52,2088206
2022-09-23 13:13:52,2088206
2022-09-23 13:14:44,2088208
2022-09-23 13:14:52,2088208
2022-09-23 13:14:52,2088208
2022-09-23 13:14:52,2088208
2022-09-23 13:15:52,2088209
2022-09-23 13:15:52,2088209
2022-09-23 13:15:52,2088209
2022-09-23 13:15:53,2088209
2022-09-23 13:16:53,2088211
2022-09-23 23:08:31,2089215
2022-09-24 00:40:13,2089368
2022-09-24 00:40:13,2089368
2022-09-24 00:41:14,2089370
2022-09-24 00:42:06,2089371
2022-09-24 00:42:14,2089371
2022-09-24 00:42:14,2089371
2022-09-24 00:43:14,2089373
2022-09-24 00:43:14,2089373
2022-09-24 00:44:07,2089375
2022-09-24 00:44:15,2089375
2022-09-24 00:44:15,2089375
2022-09-24 00:44:15,2089375
2022-09-24 00:44:15,2089375
2022-09-24 00:45:07,2089377
2022-09-24 00:45:15,2089377
2022-09-24 00:45:15,2089377
2022-09-24 00:45:15,2089377
2022-09-24 00:46:07,2089378
2022-09-24 00:46:15,2089378
2022-09-24 00:46:16,2089378
2022-09-24 00:47:08,2089380
2022-09-24 00:47:16,2089380
2022-09-24 00:47:16,2089380
2022-09-24 00:48:08,2089382
2022-09-24 00:48:16,2089382
2022-09-24 00:48:16,2089382
2022-09-24 00:49:09,2089383
2022-09-24 00:49:17,2089383
2022-09-24 00:49:17,2089383
2022-09-24 00:50:17,2089385
2022-09-24 02:14:21,2089526
2022-09-24 02:15:22,2089528
2022-09-24 02:17:14,2089531
2022-09-24 02:17:22,2089531
2022-09-24 02:17:22,2089531
2022-09-24 02:18:15,2089533
2022-09-24 02:18:23,2089533
2022-09-24 02:18:23,2089533
2022-09-24 02:18:23,2089533
2022-09-24 02:19:15,2089535
2022-09-24 02:19:21,2089535
2022-09-24 02:19:21,2089535
2022-09-24 02:19:23,2089535
2022-09-24 02:19:23,2089535
2022-09-24 02:19:23,2089535
2022-09-24 02:19:23,2089535
2022-09-24 02:19:23,2089535
2022-09-24 02:20:23,2089536
2022-09-24 02:20:23,2089536
2022-09-24 02:20:24,2089536
2022-09-24 02:21:24,2089538
2022-09-24 02:21:24,2089538
2022-09-24 02:21:24,2089538
2022-09-24 02:22:24,2089540
2022-09-24 02:23:25,2089541
2022-09-24 03:29:58,2089653
2022-09-24 03:30:58,2089654
2022-09-24 03:31:59,2089656
2022-09-24 03:51:06,2089688
2022-09-24 03:52:07,2089690
2022-09-24 03:53:07,2089692
2022-09-24 03:54:07,2089693
2022-09-24 03:55:08,2089695
2022-09-24 03:56:08,2089697
2022-09-24 05:02:41,2089809
2022-09-24 05:04:42,2089812
2022-09-24 05:05:42,2089814
2022-09-24 07:08:37,2090020
2022-09-24 07:08:38,2090020
2022-09-24 07:09:38,2090022
2022-09-24 09:55:55,2090301
2022-09-24 09:56:56,2090303
2022-09-24 09:57:56,2090304
2022-09-24 09:58:56,2090306
2022-09-24 10:00:57,2090309
2022-09-24 11:28:07,2090456
2022-09-24 11:28:07,2090456
2022-09-24 11:28:59,2090457
2022-09-24 11:29:07,2090457
2022-09-24 11:29:07,2090457
2022-09-24 11:29:59,2090459
2022-09-24 11:30:08,2090459
2022-09-24 11:30:08,2090459
2022-09-24 11:31:00,2090461
2022-09-24 11:31:01,2090461
2022-09-24 11:31:08,2090461
2022-09-24 11:31:08,2090461
2022-09-24 11:31:08,2090461
2022-09-24 11:32:00,2090462
2022-09-24 11:32:08,2090462
2022-09-24 11:32:09,2090462
2022-09-24 11:33:01,2090464
2022-09-24 11:33:01,2090464
2022-09-24 11:33:09,2090464
2022-09-24 11:33:09,2090464
2022-09-24 11:33:09,2090464
2022-09-24 11:34:01,2090466
2022-09-24 11:34:09,2090466
2022-09-24 11:34:09,2090466
2022-09-24 11:37:11,2090471
2022-09-24 13:03:50,2090616
2022-09-24 13:03:50,2090616
2022-09-24 13:04:08,2090616
2022-09-24 13:04:50,2090618
2022-09-24 13:04:51,2090618
2022-09-24 13:05:42,2090619
2022-09-24 13:05:51,2090619
2022-09-24 13:05:51,2090619
2022-09-24 13:06:51,2090621
2022-09-24 13:06:51,2090621
2022-09-24 13:07:09,2090621
2022-09-24 13:07:51,2090623
2022-09-24 13:07:51,2090623
2022-09-24 13:07:51,2090623
2022-09-24 13:07:52,2090623
2022-09-24 13:08:10,2090623
2022-09-24 13:08:43,2090624
2022-09-24 13:08:52,2090624
2022-09-24 13:08:52,2090624
2022-09-24 13:08:52,2090624
2022-09-24 13:08:52,2090624
2022-09-24 13:09:44,2090626
2022-09-24 13:09:52,2090626
2022-09-24 13:09:52,2090626
2022-09-24 13:09:52,2090626
2022-09-24 13:09:53,2090626
2022-09-24 13:10:53,2090628
2022-09-24 13:10:53,2090628
2022-09-24 13:11:53,2090629
2022-09-24 13:11:53,2090629
2022-09-24 14:43:34,2090784
2022-09-24 16:39:46,2090978
2022-09-24 16:42:47,2090983
2022-09-24 16:43:47,2090984
2022-09-24 18:16:30,2091141
2022-09-24 18:17:30,2091142
2022-09-24 18:18:31,2091144
2022-09-25 00:39:16,2091826
2022-09-25 00:39:24,2091826
2022-09-25 00:40:16,2091828
2022-09-25 00:40:24,2091828
2022-09-25 00:40:24,2091828
2022-09-25 00:41:17,2091830
2022-09-25 00:41:25,2091830
2022-09-25 00:41:25,2091830
2022-09-25 00:41:25,2091830
2022-09-25 00:42:25,2091832
2022-09-25 00:42:25,2091832
2022-09-25 00:43:26,2091833
2022-09-25 02:09:06,2091977
2022-09-25 02:10:07,2091978
2022-09-25 02:11:07,2091980
2022-09-25 02:11:07,2091980
2022-09-25 02:12:06,2091982
2022-09-25 02:12:06,2091982
2022-09-25 02:12:07,2091982
2022-09-25 02:12:07,2091982
