"Time","batt"
2021-05-08 07:41:39,8.20 V
2021-05-08 07:42:40,8.19 V
2021-05-08 08:56:15,8.24 V
2021-05-08 08:57:15,8.25 V
2021-05-08 23:30:21,8.25 V
2021-05-09 03:54:42,8.24 V
2021-05-09 03:55:43,8.21 V
2021-05-09 03:57:44,8.24 V
2021-05-09 03:58:44,8.21 V
2021-05-09 05:29:24,8.25 V
2021-05-09 05:32:26,8.25 V
2021-05-09 05:34:26,8.22 V
2021-05-09 07:34:20,8.21 V
2021-05-09 07:34:20,8.21 V
2021-05-09 07:35:20,8.21 V
2021-05-09 07:36:21,8.20 V
2021-05-09 07:37:21,8.19 V
2021-05-09 07:38:21,8.19 V
2021-05-09 23:29:29,8.25 V
2021-05-09 23:30:30,8.24 V
2021-05-10 02:36:33,8.25 V
2021-05-10 03:49:07,8.24 V
2021-05-10 03:50:08,8.25 V
2021-05-10 03:51:08,8.23 V
2021-05-10 03:52:09,8.25 V
2021-05-10 03:53:09,8.22 V
2021-05-10 07:31:45,8.19 V
2021-05-10 07:32:45,8.19 V
2021-05-10 23:24:55,8.25 V
2021-05-10 23:25:55,8.25 V
2021-05-10 23:26:55,8.21 V
2021-05-10 23:29:56,8.20 V
2021-05-11 02:31:22,8.25 V
2021-05-11 03:45:02,8.25 V
2021-05-11 03:46:02,8.25 V
2021-05-11 05:54:09,8.19 V
2021-05-11 07:25:51,8.21 V
2021-05-11 07:27:52,8.20 V
2021-05-11 07:28:52,8.20 V
2021-05-11 07:28:52,8.20 V
2021-05-11 07:29:52,8.19 V
2021-05-11 10:37:47,8.20 V
2021-05-12 03:40:52,8.25 V
2021-05-12 03:41:52,8.20 V
2021-05-12 04:57:27,8.24 V
2021-05-12 04:58:27,8.25 V
2021-05-12 04:59:28,8.25 V
2021-05-12 05:00:28,8.24 V
2021-05-12 05:01:29,8.25 V
2021-05-12 05:02:29,8.24 V
2021-05-12 05:03:30,8.25 V
2021-05-12 05:04:30,8.25 V
2021-05-12 05:05:31,8.25 V
2021-05-12 05:15:35,8.21 V
2021-05-12 05:20:37,8.23 V
2021-05-12 06:32:35,8.25 V
2021-05-12 06:33:36,8.21 V
2021-05-12 06:34:36,8.25 V
2021-05-12 06:35:37,8.24 V
2021-05-13 00:52:40,8.25 V
2021-05-13 05:15:49,8.22 V
2021-05-13 07:16:44,8.21 V
2021-05-13 07:17:44,8.20 V
2021-05-13 07:17:45,8.20 V
2021-05-13 07:18:45,8.20 V
2021-05-13 07:19:45,8.19 V
2021-05-13 07:19:45,8.19 V
2021-05-13 07:20:46,8.19 V
2021-05-13 07:21:46,8.19 V
2021-05-13 07:21:46,8.19 V
2021-05-14 03:36:11,8.23 V
2021-05-14 03:37:11,8.24 V
2021-05-14 03:38:12,8.23 V
2021-05-14 04:48:43,8.18 V
2021-05-14 04:49:44,8.24 V
2021-05-14 04:50:45,8.24 V
2021-05-14 04:51:45,8.23 V
2021-05-14 04:52:46,8.24 V
2021-05-14 04:53:46,8.22 V
2021-05-14 04:54:47,8.25 V
2021-05-14 04:55:47,8.23 V
2021-05-14 06:22:26,8.23 V
2021-05-14 06:23:26,8.20 V
2021-05-14 06:24:27,8.24 V
2021-05-14 06:25:27,8.20 V
2021-05-14 07:11:47,8.21 V
2021-05-14 07:12:47,8.20 V
2021-05-14 07:13:48,8.19 V
2021-05-14 07:13:48,8.19 V
2021-05-14 18:35:55,8.14 V
2021-05-15 00:41:56,8.25 V
2021-05-15 03:29:17,8.23 V
2021-05-15 03:30:17,8.19 V
2021-05-15 03:31:18,8.24 V
2021-05-15 03:32:18,8.21 V
2021-05-15 07:07:03,8.21 V
2021-05-15 13:10:43,8.17 V
2021-05-16 04:59:17,8.22 V
2021-05-16 05:00:17,8.25 V
2021-05-16 05:01:18,8.25 V
2021-05-16 05:02:18,8.25 V
2021-05-16 07:04:12,8.20 V
2021-05-16 07:05:13,8.20 V
2021-05-16 07:06:13,8.20 V
2021-05-16 08:37:55,8.25 V
2021-05-17 00:35:18,8.20 V
2021-05-17 00:35:18,8.20 V
2021-05-17 00:36:37,8.18 V
2021-05-17 00:37:37,8.18 V
2021-05-17 00:37:37,8.18 V
2021-05-17 00:39:16,8.17 V
2021-05-17 04:33:50,8.21 V
2021-05-17 04:34:50,8.20 V
2021-05-17 04:35:51,8.21 V
2021-05-17 04:36:51,8.21 V
2021-05-17 04:37:52,8.21 V
2021-05-17 04:38:52,8.21 V
2021-05-17 04:39:53,8.21 V
2021-05-17 04:40:53,8.21 V
2021-05-17 04:41:54,8.21 V
2021-05-17 04:42:55,8.22 V
2021-05-17 06:14:35,8.21 V
2021-05-17 06:15:36,8.23 V
2021-05-17 06:16:37,8.20 V
2021-05-17 11:26:57,8.20 V
2021-05-18 00:31:30,8.20 V
2021-05-18 03:39:29,8.25 V
2021-05-18 04:49:04,8.25 V
2021-05-18 04:51:03,8.25 V
2021-05-18 04:52:04,8.23 V
2021-05-18 04:53:04,8.23 V
2021-05-18 06:05:37,8.24 V
2021-05-18 06:06:37,8.23 V
2021-05-18 06:07:38,8.25 V
2021-05-18 06:08:38,8.25 V
2021-05-18 06:09:39,8.25 V
2021-05-18 06:10:39,8.24 V
2021-05-18 06:11:40,8.25 V
2021-05-18 06:54:58,8.21 V
2021-05-19 01:55:29,8.25 V
2021-05-19 01:56:30,8.25 V
2021-05-19 04:27:30,8.19 V
2021-05-19 04:28:30,8.22 V
2021-05-19 04:29:31,8.19 V
2021-05-19 04:30:32,8.22 V
2021-05-19 04:31:32,8.20 V
2021-05-19 04:32:33,8.22 V
2021-05-19 04:33:33,8.21 V
2021-05-19 04:46:40,8.25 V
2021-05-19 04:47:40,8.21 V
2021-05-19 04:48:41,8.22 V
2021-05-19 04:49:41,8.21 V
2021-05-19 06:04:13,8.23 V
2021-05-19 06:05:14,8.20 V
2021-05-19 06:06:14,8.23 V
2021-05-19 06:07:15,8.21 V
2021-05-19 06:08:15,8.22 V
2021-05-19 06:48:32,8.24 V
2021-05-19 09:42:50,8.24 V
2021-05-19 09:43:50,8.21 V
2021-05-19 09:44:51,8.25 V
2021-05-19 12:49:00,8.22 V
2021-05-19 12:52:47,8.22 V
2021-05-20 04:20:30,8.21 V
2021-05-20 04:21:31,8.21 V
2021-05-20 04:23:32,8.23 V
2021-05-20 04:24:32,8.19 V
2021-05-20 04:25:33,8.24 V
2021-05-20 04:26:34,8.22 V
2021-05-20 04:27:34,8.23 V
2021-05-20 04:28:35,8.23 V
2021-05-20 05:56:15,8.22 V
2021-05-20 05:57:15,8.18 V
2021-05-20 06:00:17,8.21 V
2021-05-20 06:01:18,8.22 V
2021-05-20 06:02:18,8.21 V
2021-05-20 06:03:19,8.22 V
2021-05-20 06:47:37,8.19 V
2021-05-20 09:35:52,8.20 V
2021-05-21 04:36:40,8.20 V
2021-05-21 04:37:40,8.22 V
2021-05-21 04:38:41,8.23 V
2021-05-21 04:39:42,8.22 V
2021-05-21 05:51:12,8.23 V
2021-05-21 05:52:13,8.22 V
2021-05-21 05:53:13,8.24 V
2021-05-21 05:55:14,8.22 V
2021-05-21 05:56:15,8.25 V
2021-05-21 05:57:15,8.23 V
2021-05-21 05:58:16,8.24 V
2021-05-21 09:30:51,8.25 V
2021-05-21 12:44:14,8.25 V
2021-05-21 18:58:48,8.22 V
2021-05-21 19:00:49,8.22 V
2021-05-21 19:01:49,8.20 V
2021-05-22 00:12:05,8.25 V
2021-05-22 04:30:06,8.20 V
2021-05-22 04:31:07,8.25 V
2021-05-22 04:32:07,8.22 V
2021-05-22 04:33:07,8.25 V
2021-05-22 04:35:08,8.25 V
2021-05-22 18:54:52,8.24 V
2021-05-22 18:56:53,8.25 V
2021-05-22 18:58:54,8.25 V
2021-05-23 04:25:55,8.25 V
2021-05-23 04:26:55,8.24 V
2021-05-23 04:27:55,8.25 V
2021-05-23 04:28:57,8.22 V
2021-05-23 04:29:57,8.22 V
2021-05-23 04:30:57,8.24 V
2021-05-23 04:32:58,8.23 V
2021-05-23 04:33:59,8.25 V
2021-05-23 18:49:34,8.21 V
2021-05-23 18:51:36,8.21 V
2021-05-24 04:22:04,8.20 V
2021-05-24 04:23:04,8.22 V
2021-05-24 04:24:04,8.23 V
2021-05-24 04:25:06,8.22 V
2021-05-24 05:40:45,8.19 V
2021-05-24 05:41:46,8.24 V
2021-05-24 18:47:42,8.23 V
2021-05-24 18:48:42,8.25 V
2021-05-24 18:49:43,8.22 V
2021-05-25 04:17:19,8.23 V
2021-05-25 04:18:19,8.25 V
2021-05-25 04:19:19,8.23 V
2021-05-25 04:20:20,8.25 V
2021-05-25 04:21:20,8.22 V
2021-05-25 12:27:13,8.24 V
2021-05-26 01:28:23,8.24 V
2021-05-26 04:13:28,8.21 V
2021-05-26 04:14:29,8.18 V
2021-05-26 04:16:29,8.18 V
2021-05-26 04:18:30,8.17 V
2021-05-26 07:53:06,8.25 V
2021-05-26 07:57:07,8.19 V
2021-05-26 23:48:52,8.25 V
2021-05-26 23:48:53,8.25 V
2021-05-26 23:49:53,8.25 V
2021-05-26 23:50:53,8.21 V
2021-05-26 23:50:53,8.21 V
2021-05-27 01:24:49,8.25 V
2021-05-27 02:55:08,8.25 V
2021-05-27 03:50:10,8.15 V
2021-05-27 03:51:11,8.20 V
2021-05-27 03:52:12,8.18 V
2021-05-27 03:54:13,8.20 V
2021-05-27 03:55:13,8.19 V
2021-05-27 03:56:14,8.19 V
2021-05-27 03:57:14,8.20 V
2021-05-27 04:09:19,8.21 V
2021-05-27 04:10:20,8.21 V
2021-05-27 04:11:20,8.20 V
2021-05-27 04:12:22,8.23 V
2021-05-27 04:13:21,8.19 V
2021-05-27 04:13:22,8.19 V
2021-05-27 04:14:22,8.22 V
2021-05-27 05:25:54,8.21 V
2021-05-27 05:26:54,8.22 V
2021-05-27 05:27:55,8.19 V
2021-05-27 05:28:55,8.22 V
2021-05-27 05:29:56,8.21 V
2021-05-27 05:31:00,8.22 V
2021-05-27 05:32:01,8.21 V
2021-05-27 07:49:50,8.20 V
2021-05-27 07:50:51,8.20 V
2021-05-27 07:50:51,8.20 V
2021-05-27 07:50:53,8.20 V
2021-05-27 07:51:51,8.19 V
2021-05-27 07:51:51,8.19 V
2021-05-27 07:51:53,8.19 V
2021-05-27 07:52:52,8.18 V
2021-05-27 07:52:54,8.18 V
2021-05-27 10:40:20,8.21 V
2021-05-27 10:42:21,8.24 V
2021-05-27 18:33:12,8.21 V
2021-05-27 18:36:13,8.23 V
2021-05-27 23:41:28,8.25 V
2021-05-27 23:43:28,8.25 V
2021-05-27 23:44:28,8.25 V
2021-05-27 23:45:29,8.25 V
2021-05-27 23:47:21,8.20 V
2021-05-28 04:02:34,8.24 V
2021-05-28 04:03:35,8.23 V
2021-05-28 04:06:36,8.22 V
2021-05-28 04:08:37,8.22 V
2021-05-28 04:09:37,8.21 V
2021-05-28 12:10:28,8.20 V
2021-05-28 12:10:29,8.20 V
2021-05-28 23:41:57,8.21 V
2021-05-29 01:18:04,8.17 V
2021-05-29 02:45:39,8.21 V
2021-05-29 02:51:28,8.19 V
2021-05-29 04:02:01,8.20 V
2021-05-29 04:03:01,8.17 V
2021-05-29 04:04:02,8.18 V
2021-05-29 04:05:02,8.19 V
2021-05-29 05:16:33,8.18 V
2021-05-29 05:18:34,8.19 V
2021-05-29 05:19:34,8.19 V
2021-05-29 05:20:35,8.17 V
2021-05-29 05:21:36,8.19 V
2021-05-29 05:22:36,8.19 V
2021-05-29 05:23:37,8.19 V
2021-05-29 08:58:40,8.22 V
2021-05-29 12:07:54,8.17 V
2021-05-29 23:30:58,8.23 V
2021-05-29 23:38:52,8.20 V
2021-05-30 01:10:07,8.25 V
2021-05-30 01:11:07,8.25 V
2021-05-30 01:11:07,8.25 V
2021-05-30 01:12:07,8.25 V
2021-05-30 01:12:07,8.25 V
2021-05-30 01:13:07,8.21 V
2021-05-30 01:13:08,8.21 V
2021-05-30 01:13:08,8.21 V
2021-05-30 03:55:24,8.24 V
2021-05-30 03:57:24,8.25 V
2021-05-30 03:58:25,8.24 V
2021-05-30 03:59:25,8.23 V
2021-05-30 04:00:26,8.25 V
2021-05-30 07:37:13,8.20 V
2021-05-30 07:38:13,8.19 V
2021-05-30 10:27:05,8.24 V
2021-05-30 10:27:06,8.24 V
2021-05-30 10:28:52,8.21 V
2021-05-30 12:00:51,8.19 V
2021-05-30 12:00:51,8.19 V
2021-05-30 12:00:52,8.19 V
2021-05-30 13:36:58,8.16 V
2021-05-30 13:36:58,8.16 V
2021-05-30 18:20:39,8.21 V
2021-05-30 18:21:40,8.23 V
2021-05-31 03:49:41,8.18 V
2021-05-31 03:50:42,8.18 V
2021-05-31 03:52:43,8.20 V
2021-06-01 01:02:26,8.25 V
2021-06-01 07:28:32,8.19 V
2021-06-01 07:29:32,8.19 V
2021-06-02 02:32:47,8.25 V
2021-06-02 07:22:30,8.21 V
2021-06-02 07:23:30,8.19 V
2021-06-02 18:08:50,8.19 V
2021-06-03 11:41:48,8.20 V
2021-06-03 11:42:48,8.19 V
2021-06-04 00:46:54,8.25 V
2021-06-04 00:46:54,8.25 V
2021-06-04 05:08:40,8.18 V
2021-06-04 05:09:40,8.19 V
2021-06-04 05:10:40,8.16 V
2021-06-05 02:17:40,8.21 V
2021-06-05 02:18:40,8.20 V
2021-06-05 03:30:00,8.19 V
2021-06-05 03:32:01,8.17 V
2021-06-05 03:33:01,8.17 V
2021-06-05 13:10:32,8.11 V
2021-06-06 00:41:54,8.18 V
2021-06-06 04:40:32,8.18 V
2021-06-06 04:41:32,8.17 V
2021-06-06 04:42:33,8.16 V
2021-06-06 04:43:33,8.15 V
2021-06-06 04:44:34,8.16 V
2021-06-06 04:45:35,8.17 V
2021-06-06 04:46:35,8.17 V
2021-06-06 04:47:36,8.18 V
2021-06-07 00:35:12,8.25 V
2021-06-07 00:37:29,8.20 V
