Time,47959.obc_uptime_total
2023-02-27 00:35:21,60247442
2023-02-27 00:35:29,60247442
2023-02-27 00:35:29,60247442
2023-02-27 00:35:29,60247442
2023-02-27 00:35:29,60247442
2023-02-27 00:36:48,60247530
2023-02-27 00:36:57,60247530
2023-02-27 00:38:25,60247618
2023-02-27 00:39:45,60247706
2023-02-27 00:39:53,60247706
2023-02-27 02:04:50,60252810
2023-02-27 02:04:59,60252810
2023-02-27 02:04:59,60252810
2023-02-27 02:06:19,60252898
2023-02-27 02:06:27,60252898
2023-02-27 02:06:27,60252898
2023-02-27 02:06:27,60252898
2023-02-27 02:06:27,60252898
2023-02-27 02:07:46,60252986
2023-02-27 02:07:47,60252986
2023-02-27 02:07:55,60252986
2023-02-27 02:07:55,60252986
2023-02-27 02:07:55,60252986
2023-02-27 02:09:14,60253074
2023-02-27 02:09:15,60253074
2023-02-27 02:09:17,60253074
2023-02-27 02:09:17,60253074
2023-02-27 02:09:21,60253074
2023-02-27 02:09:21,60253074
2023-02-27 02:09:23,60253074
2023-02-27 02:09:23,60253074
2023-02-27 02:09:23,60253074
2023-02-27 02:09:23,60253074
2023-02-27 02:09:23,60253074
2023-02-27 02:09:23,60253074
2023-02-27 02:09:23,60253074
2023-02-27 02:10:51,60253162
2023-02-27 02:10:51,60253162
2023-02-27 02:10:51,60253162
2023-02-27 02:12:10,60253250
2023-02-27 02:12:19,60253250
2023-02-27 02:12:19,60253250
2023-02-27 02:12:19,60253250
2023-02-27 02:12:19,60253250
2023-02-27 02:13:47,60253338
2023-02-27 03:40:21,60258530
2023-02-27 03:40:21,60258530
2023-02-27 03:41:49,60258618
2023-02-27 03:41:49,60258618
2023-02-27 03:41:49,60258618
2023-02-27 03:43:17,60258706
2023-02-27 03:44:45,60258794
2023-02-27 03:44:45,60258794
2023-02-27 03:46:13,60258882
2023-02-27 03:46:13,60258882
2023-02-27 03:46:13,60258882
2023-02-27 04:34:38,60261786
2023-02-27 04:37:34,60261962
2023-02-27 04:39:02,60262050
2023-02-27 04:40:30,60262138
2023-02-27 08:32:20,60276042
2023-02-27 08:33:48,60276130
2023-02-27 10:07:42,60281762
2023-02-27 10:09:10,60281850
2023-02-27 10:12:06,60282026
2023-02-27 10:13:34,60282114
2023-02-27 11:17:59,60285986
2023-02-27 11:18:07,60285986
2023-02-27 11:21:03,60286162
2023-02-27 11:22:23,60286250
2023-02-27 11:22:31,60286250
2023-02-27 11:22:31,60286250
2023-02-27 11:23:51,60286338
2023-02-27 11:23:51,60286338
2023-02-27 11:23:59,60286338
2023-02-27 11:23:59,60286338
2023-02-27 11:23:59,60286338
2023-02-27 11:23:59,60286338
2023-02-27 11:24:00,60286338
2023-02-27 11:25:18,60286426
2023-02-27 11:25:27,60286426
2023-02-27 11:25:28,60286426
2023-02-27 12:53:21,60291706
2023-02-27 12:53:22,60291706
2023-02-27 12:53:30,60291706
2023-02-27 12:53:30,60291706
2023-02-27 12:56:17,60291882
2023-02-27 12:56:19,60291882
2023-02-27 12:56:19,60291882
2023-02-27 12:56:23,60291882
2023-02-27 12:56:23,60291882
2023-02-27 12:56:25,60291882
2023-02-27 12:56:26,60291882
2023-02-27 12:56:26,60291882
2023-02-27 12:56:26,60291882
2023-02-27 12:56:26,60291882
2023-02-27 12:56:26,60291882
2023-02-27 12:56:26,60291882
2023-02-27 12:57:46,60291970
2023-02-27 12:57:54,60291970
2023-02-27 12:57:54,60291970
2023-02-27 12:57:54,60291970
2023-02-27 12:57:54,60291970
2023-02-27 12:57:54,60291970
2023-02-27 13:02:18,60292234
2023-02-27 14:30:20,60297514
2023-02-27 14:31:48,60297602
2023-02-27 14:33:16,60297690
2023-02-27 14:33:16,60297690
2023-02-27 14:34:44,60297778
2023-02-27 14:36:12,60297866
2023-02-27 15:14:20,60300154
2023-02-27 15:17:17,60300330
2023-02-27 15:18:45,60300418
2023-02-27 15:20:13,60300506
2023-02-27 16:30:38,60304730
2023-02-27 16:32:06,60304818
2023-02-27 16:33:34,60304906
2023-02-27 16:35:02,60304994
2023-02-27 16:46:47,60305698
2023-02-27 16:49:43,60305874
2023-02-27 16:52:39,60306050
2023-02-27 16:54:07,60306138
