Time,RSSI
2020-08-06 03:00:00,-48
2020-08-07 03:00:00,-48
2020-08-16 03:00:00,-50
2020-08-17 03:00:00,-59
2020-08-18 03:00:00,-52
2020-08-25 03:00:00,-60
2020-08-26 03:00:00,-50
2020-09-01 03:00:00,-54
2020-09-04 03:00:00,-49
2020-09-05 03:00:00,-60
2020-09-16 03:00:00,-60
2020-09-18 03:00:00,-49
2020-09-23 03:00:00,-48
2020-09-24 03:00:00,-45
2020-09-25 03:00:00,-49
2020-09-30 03:00:00,-46
2020-10-01 03:00:00,-49
2020-10-02 03:00:00,-49
2020-10-03 03:00:00,-51
2020-10-04 03:00:00,-47
2020-10-05 03:00:00,-49
2020-10-11 03:00:00,-62
2020-10-12 03:00:00,-49
2020-10-13 03:00:00,-50
2020-10-14 03:00:00,-49
2020-10-15 03:00:00,-51
2020-10-21 03:00:00,-62
2020-10-22 03:00:00,-52
2020-10-23 03:00:00,-48
2020-10-24 03:00:00,-49
2020-10-29 03:00:00,-46
2020-10-30 03:00:00,-62
2020-10-31 03:00:00,-46
2020-11-01 03:00:00,-49
2020-11-07 03:00:00,-64
2020-11-08 03:00:00,-64
2020-11-09 03:00:00,-48
2020-11-10 03:00:00,-55
2020-11-15 03:00:00,-48
2020-11-16 03:00:00,-51
2020-11-19 03:00:00,-47
2020-11-24 03:00:00,-47
2020-11-26 03:00:00,-48
2020-11-27 03:00:00,-48
2020-12-03 03:00:00,-50
2020-12-10 03:00:00,-51
2020-12-14 03:00:00,-48
2020-12-20 03:00:00,-53
2020-12-21 03:00:00,-53
2020-12-23 03:00:00,-49
2020-12-24 03:00:00,-49
2020-12-29 03:00:00,-49
2021-01-05 03:00:00,-59
2021-01-12 03:00:00,-51
2021-01-13 03:00:00,-49
2021-01-16 03:00:00,-54
2021-01-17 03:00:00,-52
2021-01-24 03:00:00,-50
2021-01-25 03:00:00,-56
2021-02-19 03:00:00,-59
2021-03-03 03:00:00,-53
2021-04-01 03:00:00,-55
2021-04-20 03:00:00,-55
2021-05-07 03:00:00,-56
2021-05-08 03:00:00,-53
2021-05-09 03:00:00,-53
2021-05-10 03:00:00,-54
2021-05-11 03:00:00,-51
2021-06-08 03:00:00,-57
2021-06-09 03:00:00,-53
2021-06-10 03:00:00,-52
2021-06-11 03:00:00,-48
2021-06-12 03:00:00,-51
2021-06-28 03:00:00,-48
2022-01-18 03:00:00,-44
2022-01-24 03:00:00,-49
2022-03-24 03:00:00,-50
