"Time","Panel X Current"
2019-03-04 03:00:00,315
2019-03-04 03:00:00,172
2019-03-04 03:00:00,94
2019-03-04 03:00:00,20
2019-03-04 03:00:00,47
2019-03-04 03:00:00,18
2019-03-04 03:00:00,256
2019-03-04 03:00:00,18
2019-03-05 03:00:00,26
2019-03-05 03:00:00,176
2019-03-05 03:00:00,107
2019-03-05 03:00:00,17
2019-03-05 03:00:00,351
2019-03-05 03:00:00,267
2019-03-05 03:00:00,21
2019-03-05 03:00:00,17
2019-03-05 03:00:00,28
2019-03-05 03:00:00,16
2019-03-05 03:00:00,17
2019-03-05 03:00:00,18
2019-03-05 03:00:00,95
2019-03-05 03:00:00,396
2019-03-05 03:00:00,431
2019-03-05 03:00:00,27
2019-03-05 03:00:00,18
2019-03-05 03:00:00,357
2019-03-05 03:00:00,17
2019-03-05 03:00:00,19
2019-03-05 03:00:00,430
2019-03-05 03:00:00,88
2019-03-05 03:00:00,262
2019-03-05 03:00:00,291
2019-03-05 03:00:00,201
2019-03-05 03:00:00,28
2019-03-06 03:00:00,17
2019-03-06 03:00:00,497
2019-03-06 03:00:00,199
2019-03-06 03:00:00,291
2019-03-06 03:00:00,22
2019-03-06 03:00:00,22
2019-03-06 03:00:00,18
2019-03-06 03:00:00,358
2019-03-06 03:00:00,242
2019-03-06 03:00:00,91
2019-03-06 03:00:00,17
2019-03-06 03:00:00,23
2019-03-07 03:00:00,474
2019-03-07 03:00:00,17
2019-03-07 03:00:00,51
2019-03-07 03:00:00,288
2019-03-07 03:00:00,132
2019-03-07 03:00:00,18
2019-03-07 03:00:00,257
2019-03-07 03:00:00,16
2019-03-07 03:00:00,247
2019-03-07 03:00:00,268
2019-03-07 03:00:00,226
2019-03-07 03:00:00,179
2019-03-08 03:00:00,18
2019-03-08 03:00:00,17
2019-03-08 03:00:00,17
2019-03-08 03:00:00,333
2019-03-08 03:00:00,21
2019-03-08 03:00:00,34
2019-03-08 03:00:00,379
2019-03-08 03:00:00,163
2019-03-08 03:00:00,18
2019-03-08 03:00:00,514
2019-03-09 03:00:00,17
2019-03-09 03:00:00,20
2019-03-09 03:00:00,20
2019-03-09 03:00:00,162
2019-03-09 03:00:00,203
2019-03-09 03:00:00,327
2019-03-09 03:00:00,17
2019-03-09 03:00:00,282
2019-03-09 03:00:00,122
2019-03-09 03:00:00,42
2019-03-09 03:00:00,18
2019-03-10 03:00:00,17
2019-03-10 03:00:00,35
2019-03-10 03:00:00,17
2019-03-10 03:00:00,114
2019-03-10 03:00:00,43
2019-03-10 03:00:00,61
2019-03-10 03:00:00,225
2019-03-10 03:00:00,42
2019-03-10 03:00:00,19
2019-03-10 03:00:00,18
2019-03-10 03:00:00,151
2019-03-10 03:00:00,82
2019-03-10 03:00:00,287
2019-03-10 03:00:00,150
2019-03-10 03:00:00,17
2019-03-10 03:00:00,231
2019-03-10 03:00:00,18
2019-03-10 03:00:00,24
2019-03-10 03:00:00,69
2019-03-10 03:00:00,296
2019-03-10 03:00:00,19
2019-03-10 03:00:00,16
2019-03-10 03:00:00,22
2019-03-10 03:00:00,18
2019-03-10 03:00:00,37
2019-03-10 03:00:00,59
2019-03-10 03:00:00,26
2019-03-10 03:00:00,22
2019-03-10 03:00:00,31
2019-03-10 03:00:00,20
2019-03-10 03:00:00,128
2019-03-10 03:00:00,39
2019-03-10 03:00:00,305
2019-03-10 03:00:00,398
2019-03-10 03:00:00,28
2019-03-10 03:00:00,451
2019-03-10 03:00:00,46
2019-03-11 03:00:00,17
2019-03-11 03:00:00,27
2019-03-11 03:00:00,32
2019-03-11 03:00:00,17
2019-03-11 03:00:00,24
2019-03-11 03:00:00,18
2019-03-11 03:00:00,17
2019-03-11 03:00:00,18
2019-03-11 03:00:00,224
2019-03-11 03:00:00,202
2019-03-11 03:00:00,28
2019-03-11 03:00:00,83
2019-03-11 03:00:00,67
2019-03-11 03:00:00,63
2019-03-11 03:00:00,41
2019-03-11 03:00:00,342
2019-03-11 03:00:00,19
2019-03-11 03:00:00,20
2019-03-11 03:00:00,17
2019-03-11 03:00:00,29
2019-03-11 03:00:00,244
2019-03-11 03:00:00,16
2019-03-11 03:00:00,25
2019-03-11 03:00:00,313
2019-03-11 03:00:00,290
2019-03-11 03:00:00,231
2019-03-11 03:00:00,258
2019-03-11 03:00:00,39
2019-03-11 03:00:00,52
2019-03-11 03:00:00,419
2019-03-11 03:00:00,149
2019-03-11 03:00:00,261
2019-03-11 03:00:00,28
2019-03-11 03:00:00,236
2019-03-12 03:00:00,17
2019-03-12 03:00:00,17
2019-03-12 03:00:00,258
2019-03-12 03:00:00,401
2019-03-12 03:00:00,248
2019-03-12 03:00:00,169
2019-03-12 03:00:00,32
2019-03-12 03:00:00,297
2019-03-12 03:00:00,331
2019-03-12 03:00:00,256
2019-03-12 03:00:00,223
2019-03-12 03:00:00,114
2019-03-13 03:00:00,17
2019-03-13 03:00:00,18
2019-03-13 03:00:00,30
2019-03-13 03:00:00,61
2019-03-13 03:00:00,20
2019-03-13 03:00:00,17
2019-03-13 03:00:00,21
2019-03-13 03:00:00,17
2019-03-13 03:00:00,79
2019-03-13 03:00:00,375
2019-03-13 03:00:00,25
2019-03-13 03:00:00,266
2019-03-13 03:00:00,400
2019-03-13 03:00:00,261
2019-03-13 03:00:00,31
2019-03-14 03:00:00,17
2019-03-14 03:00:00,17
2019-03-14 03:00:00,18
2019-03-14 03:00:00,132
2019-03-14 03:00:00,20
2019-03-14 03:00:00,18
2019-03-14 03:00:00,252
2019-03-14 03:00:00,197
2019-03-14 03:00:00,162
2019-03-15 03:00:00,17
2019-03-15 03:00:00,17
2019-03-15 03:00:00,18
2019-03-15 03:00:00,18
2019-03-15 03:00:00,339
2019-03-16 03:00:00,17
2019-03-16 03:00:00,17
2019-03-16 03:00:00,353
2019-03-16 03:00:00,311
2019-03-16 03:00:00,47
2019-03-16 03:00:00,18
2019-03-16 03:00:00,279
2019-03-17 03:00:00,87
2019-03-17 03:00:00,21
2019-03-17 03:00:00,51
2019-03-17 03:00:00,223
2019-03-17 03:00:00,17
2019-03-17 03:00:00,18
2019-03-17 03:00:00,182
2019-03-17 03:00:00,17
2019-03-17 03:00:00,17
2019-03-17 03:00:00,36
2019-03-17 03:00:00,28
2019-03-17 03:00:00,21
2019-03-17 03:00:00,298
2019-03-17 03:00:00,92
2019-03-17 03:00:00,216
2019-03-17 03:00:00,94
2019-03-17 03:00:00,39
2019-03-17 03:00:00,18
2019-03-17 03:00:00,204
2019-03-17 03:00:00,20
2019-03-17 03:00:00,82
2019-03-17 03:00:00,107
2019-03-18 03:00:00,400
2019-03-18 03:00:00,21
2019-03-18 03:00:00,28
2019-03-18 03:00:00,26
2019-03-18 03:00:00,32
2019-03-18 03:00:00,17
2019-03-18 03:00:00,45
2019-03-18 03:00:00,301
2019-03-18 03:00:00,21
2019-03-18 03:00:00,19
2019-03-18 03:00:00,21
2019-03-18 03:00:00,85
2019-03-18 03:00:00,36
2019-03-18 03:00:00,17
2019-03-18 03:00:00,35
2019-03-18 03:00:00,369
2019-03-18 03:00:00,450
2019-03-18 03:00:00,28
2019-03-18 03:00:00,39
2019-03-18 03:00:00,24
2019-03-18 03:00:00,18
2019-03-18 03:00:00,18
2019-03-18 03:00:00,26
2019-03-18 03:00:00,83
2019-03-18 03:00:00,114
2019-03-18 03:00:00,266
2019-03-18 03:00:00,105
2019-03-18 03:00:00,17
2019-03-18 03:00:00,435
2019-03-18 03:00:00,443
2019-03-18 03:00:00,28
2019-03-18 03:00:00,154
2019-03-18 03:00:00,196
2019-03-18 03:00:00,20
2019-03-18 03:00:00,60
2019-03-18 03:00:00,45
2019-03-18 03:00:00,30
2019-03-19 03:00:00,17
2019-03-19 03:00:00,19
2019-03-19 03:00:00,18
2019-03-19 03:00:00,201
2019-03-19 03:00:00,17
2019-03-19 03:00:00,90
2019-03-19 03:00:00,456
2019-03-19 03:00:00,47
2019-03-19 03:00:00,73
2019-03-19 03:00:00,17
2019-03-19 03:00:00,36
2019-03-20 03:00:00,18
2019-03-20 03:00:00,17
2019-03-20 03:00:00,17
2019-03-20 03:00:00,32
2019-03-20 03:00:00,351
2019-03-20 03:00:00,17
2019-03-20 03:00:00,357
2019-03-20 03:00:00,113
2019-03-20 03:00:00,227
2019-03-20 03:00:00,49
2019-03-20 03:00:00,31
2019-03-20 03:00:00,391
2019-03-20 03:00:00,492
2019-03-20 03:00:00,330
2019-03-21 03:00:00,179
2019-03-21 03:00:00,19
2019-03-21 03:00:00,17
2019-03-21 03:00:00,74
2019-03-21 03:00:00,18
2019-03-21 03:00:00,46
2019-03-21 03:00:00,17
2019-03-21 03:00:00,19
2019-03-21 03:00:00,18
2019-03-21 03:00:00,17
2019-03-22 03:00:00,160
2019-03-22 03:00:00,17
2019-03-22 03:00:00,17
2019-03-22 03:00:00,341
2019-03-22 03:00:00,18
2019-03-22 03:00:00,17
2019-03-23 03:00:00,17
2019-03-23 03:00:00,17
2019-03-23 03:00:00,107
2019-03-23 03:00:00,18
2019-03-23 03:00:00,203
2019-03-23 03:00:00,398
2019-03-24 03:00:00,319
2019-03-24 03:00:00,18
2019-03-24 03:00:00,17
2019-03-24 03:00:00,18
2019-03-24 03:00:00,20
2019-03-24 03:00:00,18
2019-03-24 03:00:00,17
2019-03-24 03:00:00,371
2019-03-24 03:00:00,17
2019-03-24 03:00:00,338
2019-03-24 03:00:00,237
2019-03-24 03:00:00,319
2019-03-25 03:00:00,18
2019-03-25 03:00:00,18
2019-03-25 03:00:00,28
2019-03-25 03:00:00,27
2019-03-25 03:00:00,17
2019-03-25 03:00:00,18
2019-03-25 03:00:00,28
2019-03-25 03:00:00,15
2019-03-25 03:00:00,17
2019-03-25 03:00:00,281
2019-03-25 03:00:00,374
2019-03-25 03:00:00,25
2019-03-25 03:00:00,380
2019-03-25 03:00:00,443
2019-03-26 03:00:00,18
2019-03-26 03:00:00,17
2019-03-26 03:00:00,17
2019-03-26 03:00:00,28
2019-03-26 03:00:00,274
2019-03-26 03:00:00,17
2019-03-26 03:00:00,23
2019-03-26 03:00:00,18
2019-03-26 03:00:00,266
2019-03-26 03:00:00,360
2019-03-26 03:00:00,387
2019-03-26 03:00:00,181
2019-03-26 03:00:00,72
2019-03-26 03:00:00,155
2019-03-26 03:00:00,21
2019-03-27 03:00:00,45
2019-03-27 03:00:00,153
2019-03-27 03:00:00,20
2019-03-27 03:00:00,311
2019-03-27 03:00:00,437
2019-03-27 03:00:00,497
2019-03-27 03:00:00,35
2019-03-27 03:00:00,377
2019-03-27 03:00:00,18
2019-03-27 03:00:00,28
2019-03-27 03:00:00,362
2019-03-27 03:00:00,16
2019-03-27 03:00:00,17
2019-03-27 03:00:00,201
2019-03-27 03:00:00,362
2019-03-27 03:00:00,27
2019-03-27 03:00:00,207
2019-03-27 03:00:00,17
2019-03-27 03:00:00,18
2019-03-27 03:00:00,17
2019-03-27 03:00:00,81
2019-03-28 03:00:00,17
2019-03-28 03:00:00,17
2019-03-28 03:00:00,220
2019-03-28 03:00:00,18
2019-03-28 03:00:00,22
2019-03-28 03:00:00,263
2019-03-28 03:00:00,59
2019-03-28 03:00:00,462
2019-03-28 03:00:00,28
2019-03-28 03:00:00,320
2019-03-28 03:00:00,344
2019-03-28 03:00:00,18
2019-03-29 03:00:00,17
2019-03-29 03:00:00,18
2019-03-29 03:00:00,17
2019-03-29 03:00:00,302
2019-03-29 03:00:00,35
2019-03-29 03:00:00,17
2019-03-29 03:00:00,78
2019-03-30 03:00:00,18
2019-03-30 03:00:00,42
2019-03-30 03:00:00,18
2019-03-30 03:00:00,479
2019-03-30 03:00:00,17
2019-03-30 03:00:00,97
2019-03-30 03:00:00,17
2019-03-30 03:00:00,17
2019-03-30 03:00:00,17
2019-03-30 03:00:00,32
2019-03-30 03:00:00,18
2019-03-30 03:00:00,227
2019-03-30 03:00:00,289
2019-03-30 03:00:00,133
2019-03-31 03:00:00,82
2019-03-31 03:00:00,17
2019-03-31 03:00:00,17
2019-03-31 03:00:00,22
2019-03-31 03:00:00,160
2019-03-31 03:00:00,17
2019-03-31 03:00:00,19
2019-03-31 03:00:00,21
2019-03-31 03:00:00,208
2019-03-31 03:00:00,29
2019-03-31 03:00:00,179
2019-03-31 03:00:00,20
2019-03-31 03:00:00,301
2019-03-31 03:00:00,265
2019-03-31 03:00:00,17
2019-03-31 03:00:00,18
2019-03-31 03:00:00,18
2019-03-31 03:00:00,25
2019-03-31 03:00:00,21
2019-03-31 03:00:00,85
2019-03-31 03:00:00,48
2019-03-31 03:00:00,16
2019-03-31 03:00:00,18
2019-03-31 03:00:00,19
2019-04-01 03:00:00,18
2019-04-01 03:00:00,112
2019-04-01 03:00:00,17
2019-04-01 03:00:00,17
2019-04-01 03:00:00,291
2019-04-01 03:00:00,19
2019-04-01 03:00:00,374
2019-04-01 03:00:00,372
2019-04-01 03:00:00,193
2019-04-01 03:00:00,328
2019-04-01 03:00:00,284
2019-04-01 03:00:00,16
2019-04-01 03:00:00,305
2019-04-01 03:00:00,362
2019-04-01 03:00:00,427
2019-04-01 03:00:00,174
2019-04-01 03:00:00,297
2019-04-01 03:00:00,185
2019-04-02 03:00:00,387
2019-04-02 03:00:00,98
2019-04-02 03:00:00,21
2019-04-02 03:00:00,28
2019-04-02 03:00:00,67
2019-04-02 03:00:00,156
2019-04-02 03:00:00,271
2019-04-02 03:00:00,17
2019-04-02 03:00:00,17
2019-04-02 03:00:00,36
2019-04-02 03:00:00,171
2019-04-02 03:00:00,322
2019-04-03 03:00:00,17
2019-04-03 03:00:00,19
2019-04-03 03:00:00,17
2019-04-03 03:00:00,17
2019-04-03 03:00:00,51
2019-04-03 03:00:00,30
2019-04-03 03:00:00,18
2019-04-03 03:00:00,18
2019-04-03 03:00:00,24
2019-04-03 03:00:00,17
2019-04-04 03:00:00,17
2019-04-04 03:00:00,154
2019-04-04 03:00:00,161
2019-04-04 03:00:00,145
2019-04-04 03:00:00,18
2019-04-04 03:00:00,48
2019-04-04 03:00:00,165
2019-04-04 03:00:00,208
2019-04-04 03:00:00,17
2019-04-04 03:00:00,37
2019-04-04 03:00:00,31
2019-04-04 03:00:00,58
2019-04-04 03:00:00,55
2019-04-04 03:00:00,76
2019-04-04 03:00:00,265
2019-04-05 03:00:00,18
2019-04-05 03:00:00,17
2019-04-05 03:00:00,33
2019-04-05 03:00:00,17
2019-04-05 03:00:00,17
2019-04-05 03:00:00,260
2019-04-05 03:00:00,128
2019-04-05 03:00:00,61
2019-04-05 03:00:00,200
2019-04-05 03:00:00,254
2019-04-05 03:00:00,18
2019-04-05 03:00:00,84
2019-04-05 03:00:00,19
2019-04-06 03:00:00,18
2019-04-06 03:00:00,115
2019-04-06 03:00:00,64
2019-04-06 03:00:00,37
2019-04-06 03:00:00,98
2019-04-06 03:00:00,21
2019-04-06 03:00:00,20
2019-04-06 03:00:00,17
2019-04-06 03:00:00,107
2019-04-06 03:00:00,18
2019-04-06 03:00:00,18
2019-04-06 03:00:00,29
2019-04-06 03:00:00,256
2019-04-07 03:00:00,18
2019-04-07 03:00:00,320
2019-04-07 03:00:00,17
2019-04-07 03:00:00,262
2019-04-07 03:00:00,17
2019-04-07 03:00:00,251
2019-04-07 03:00:00,95
2019-04-07 03:00:00,347
2019-04-07 03:00:00,308
2019-04-07 03:00:00,26
2019-04-07 03:00:00,41
2019-04-07 03:00:00,166
2019-04-08 03:00:00,73
2019-04-08 03:00:00,17
2019-04-08 03:00:00,109
2019-04-08 03:00:00,212
2019-04-08 03:00:00,31
2019-04-08 03:00:00,19
2019-04-08 03:00:00,17
