Time,"53385.offset, kB"
2023-03-28 13:24:31,4.484
2023-03-28 13:24:32,7.116
2023-03-28 13:24:32,5.716
2023-03-28 13:24:32,5.38
2023-03-28 13:24:33,7.788
2023-03-28 13:24:33,6.276
2023-03-28 13:24:33,5.996
2023-03-28 13:24:34,6.78
2023-03-28 13:24:34,7.004
2023-03-28 13:24:35,7.284
2023-03-28 13:24:35,7.564
2023-03-28 13:24:36,7.788
2023-03-28 13:24:37,8.124
2023-03-28 13:24:38,8.124
2023-03-28 13:26:25,0.004
2023-03-28 13:26:26,1.18
2023-03-28 13:26:27,1.292
2023-03-28 13:26:28,2.132
2023-03-28 13:26:29,2.916
2023-03-28 13:26:30,3.644
2023-03-28 13:26:31,4.428
2023-03-28 13:26:32,5.212
2023-03-28 13:26:33,6.052
2023-03-28 13:26:34,6.78
2023-03-28 13:26:35,7.564
2023-03-29 12:51:30,0.172
2023-03-29 12:51:35,4.316
2023-03-29 12:51:39,0.172
2023-03-29 12:51:39,7.564
2023-03-29 12:51:44,0.172
2023-03-29 12:51:45,0.172
2023-03-29 12:51:45,4.316
2023-03-29 12:51:49,4.316
2023-03-29 12:51:50,0.172
2023-03-29 12:51:50,0.172
2023-03-29 12:51:53,7.564
2023-03-29 12:51:54,0.172
2023-03-29 12:51:54,7.732
2023-03-29 12:51:55,4.316
2023-03-29 12:51:57,4.316
2023-03-29 12:51:57,4.316
2023-03-29 12:51:59,7.564
2023-03-29 12:51:59,4.316
2023-03-29 12:52:00,7.732
2023-03-29 12:52:04,7.732
2023-03-29 12:52:06,7.732
2023-03-29 12:52:51,0.172
2023-03-29 12:52:56,4.316
2023-03-29 12:53:00,0.172
2023-03-29 12:53:00,7.564
2023-03-29 12:53:06,4.316
2023-03-29 12:53:10,7.564
2023-03-29 12:53:11,0.172
2023-03-29 12:53:11,0.172
2023-03-29 12:53:14,7.564
2023-03-29 12:53:15,7.732
2023-03-29 12:53:16,4.316
2023-03-29 12:53:19,4.316
2023-03-29 12:53:20,4.316
2023-03-29 12:53:20,7.564
2023-03-29 12:53:21,7.732
2023-03-29 12:53:24,7.564
2023-03-29 12:53:26,7.732
2023-03-29 12:53:29,0.004
2023-03-29 12:53:30,0.06
2023-03-29 12:53:31,1.124
2023-03-29 12:53:32,1.796
2023-03-29 12:53:33,2.468
2023-03-29 12:53:34,3.42
2023-03-29 12:53:35,4.092
2023-03-29 12:53:37,6.052
2023-03-29 12:53:38,6.836
2023-03-29 12:53:39,0.004
2023-03-29 12:53:39,7.62
2023-03-29 12:53:40,0.116
2023-03-29 12:53:40,8.068
2023-03-29 12:53:41,1.18
2023-03-29 12:53:41,8.908
2023-03-29 12:53:42,1.796
2023-03-29 12:53:42,9.692
2023-03-29 12:53:43,2.58
2023-03-29 12:53:43,10.644
2023-03-29 12:53:44,3.308
2023-03-29 12:53:44,11.148
2023-03-29 12:53:45,4.092
2023-03-29 12:53:45,11.988
2023-03-29 12:53:46,4.988
2023-03-29 12:53:46,12.828
2023-03-29 12:53:47,1.74
2023-03-29 12:53:47,5.772
2023-03-29 12:53:47,13.556
2023-03-29 12:53:48,2.244
2023-03-29 12:53:48,6.5
2023-03-29 12:53:48,14.284
2023-03-29 12:53:49,2.972
2023-03-29 12:53:49,7.172
2023-03-29 12:53:49,15.18
2023-03-29 12:53:50,0.284
2023-03-29 12:53:50,15.964
2023-03-29 12:53:50,0.004
2023-03-29 12:53:50,8.124
2023-03-29 12:53:51,0.676
2023-03-29 12:53:51,8.908
2023-03-29 12:53:51,5.548
2023-03-29 12:53:51,16.636
2023-03-29 12:53:51,0.732
2023-03-29 12:53:52,1.516
2023-03-29 12:53:52,1.236
2023-03-29 12:53:52,6.108
2023-03-29 12:53:52,9.636
2023-03-29 12:53:53,6.892
2023-03-29 12:53:53,1.516
2023-03-29 12:53:53,1.796
2023-03-29 12:53:53,2.188
2023-03-29 12:53:54,2.58
2023-03-29 12:53:54,3.308
2023-03-29 12:53:54,19.1
2023-03-29 12:53:54,7.004
2023-03-29 12:53:54,2.244
2023-03-29 12:53:54,0.004
2023-03-29 12:53:54,7.62
2023-03-29 12:53:55,0.676
2023-03-29 12:53:55,8.348
2023-03-29 12:53:55,3.308
2023-03-29 12:53:55,12.044
2023-03-29 12:53:55,2.972
2023-03-29 12:53:55,19.772
2023-03-29 12:53:55,7.732
2023-03-29 12:53:56,20.612
2023-03-29 12:53:56,8.516
2023-03-29 12:53:56,9.356
2023-03-29 12:53:56,1.404
2023-03-29 12:53:56,4.26
2023-03-29 12:53:56,3.812
2023-03-29 12:53:57,4.764
2023-03-29 12:53:57,4.372
2023-03-29 12:53:57,9.244
2023-03-29 12:53:57,21.452
2023-03-29 12:53:57,2.3
2023-03-29 12:53:57,10.084
2023-03-29 12:53:58,2.972
2023-03-29 12:53:58,4.932
2023-03-29 12:53:58,6.836
2023-03-29 12:53:58,6.836
2023-03-29 12:53:58,22.572
2023-03-29 12:53:58,10.028
2023-03-29 12:53:59,22.964
2023-03-29 12:53:59,10.756
2023-03-29 12:53:59,5.828
2023-03-29 12:53:59,3.756
2023-03-29 12:53:59,7.004
2023-03-29 12:53:59,7.284
2023-03-29 12:54:00,7.844
2023-03-29 12:54:00,8.012
2023-03-29 12:54:00,11.708
2023-03-29 12:54:00,23.86
2023-03-29 12:54:00,4.596
2023-03-29 12:54:00,6.5
2023-03-29 12:54:01,5.436
2023-03-29 12:54:01,7.732
2023-03-29 12:54:01,9.076
2023-03-29 12:54:01,9.076
2023-03-29 12:54:01,24.756
2023-03-29 12:54:01,12.492
2023-03-29 12:54:02,8.068
2023-03-29 12:54:02,13.276
2023-03-29 12:54:02,6.108
2023-03-29 12:54:02,8.628
2023-03-29 12:54:02,25.372
2023-03-29 12:54:03,9.58
2023-03-29 12:54:03,26.492
2023-03-29 12:54:03,8.964
2023-03-29 12:54:03,7.004
2023-03-29 12:54:03,14.004
2023-03-29 12:54:04,7.732
2023-03-29 12:54:04,14.788
2023-03-29 12:54:04,10.476
2023-03-29 12:54:04,15.684
2023-03-29 12:54:04,9.636
2023-03-29 12:54:04,26.94
2023-03-29 12:54:05,10.756
2023-03-29 12:54:05,27.556
2023-03-29 12:54:05,15.46
2023-03-29 12:54:05,8.516
2023-03-29 12:54:05,16.356
2023-03-29 12:54:05,11.148
2023-03-29 12:54:06,28.452
2023-03-29 12:54:06,9.3
2023-03-29 12:54:06,16.412
2023-03-29 12:54:07,29.516
2023-03-29 12:54:07,10.084
2023-03-29 12:54:07,17.196
2023-03-29 12:54:08,29.908
2023-03-29 12:54:08,10.868
2023-03-29 12:54:08,17.924
2023-03-29 12:54:09,19.436
2023-03-29 12:54:09,18.708
2023-03-29 12:54:09,30.86
2023-03-29 12:54:09,11.652
2023-03-29 12:54:10,31.868
2023-03-29 12:54:10,12.436
2023-03-29 12:54:10,19.38
2023-03-29 12:54:10,20.332
2023-03-29 12:54:11,20.388
2023-03-29 12:54:11,21.004
2023-03-29 12:54:11,13.22
2023-03-29 12:54:11,32.428
2023-03-29 12:54:12,14.06
2023-03-29 12:54:12,21.732
2023-03-29 12:54:12,21.172
2023-03-29 12:54:13,14.788
2023-03-29 12:54:13,22.628
2023-03-29 12:54:13,21.9
2023-03-29 12:54:14,15.572
2023-03-29 12:54:14,23.468
2023-03-29 12:54:14,22.684
2023-03-29 12:54:15,20.108
2023-03-29 12:54:15,20.108
2023-03-29 12:54:15,16.412
2023-03-29 12:54:15,23.412
2023-03-29 12:54:16,17.14
2023-03-29 12:54:16,24.196
2023-03-29 12:54:16,36.236
2023-03-29 12:54:16,25.148
2023-03-29 12:54:16,20.388
2023-03-29 12:54:16,20.836
2023-03-29 12:54:17,24.924
2023-03-29 12:54:17,21.228
2023-03-29 12:54:17,17.98
2023-03-29 12:54:17,25.876
2023-03-29 12:54:17,21.06
2023-03-29 12:54:18,26.492
2023-03-29 12:54:18,21.844
2023-03-29 12:54:18,25.652
2023-03-29 12:54:18,18.652
2023-03-29 12:54:18,21.844
2023-03-29 12:54:19,27.22
2023-03-29 12:54:19,26.66
2023-03-29 12:54:19,19.492
2023-03-29 12:54:20,28.172
2023-03-29 12:54:20,27.668
2023-03-29 12:54:20,20.276
2023-03-29 12:54:21,28.9
2023-03-29 12:54:21,28.116
2023-03-29 12:54:21,21.06
2023-03-29 12:54:22,29.684
2023-03-29 12:54:22,28.844
