"Time","OBC Number of Reloads"
2023-12-23 12:28:53,70
2023-12-23 12:29:01,70
2023-12-23 12:29:26,70
2023-12-23 12:29:31,70
2023-12-23 12:30:04,70
2023-12-23 12:30:36,70
2023-12-23 12:31:09,70
2023-12-23 12:31:41,70
2023-12-23 12:39:14,70
2023-12-23 12:39:46,70
2023-12-23 13:54:10,70
2023-12-23 13:55:28,70
2023-12-23 13:55:28,70
2023-12-23 13:55:29,70
2023-12-23 13:55:29,70
2023-12-23 13:55:29,70
2023-12-23 13:55:31,70
2023-12-23 13:56:01,70
2023-12-23 13:56:01,70
2023-12-23 13:56:02,70
2023-12-23 13:56:02,70
2023-12-23 13:56:02,70
2023-12-23 13:56:04,70
2023-12-23 13:57:29,70
2023-12-23 13:57:29,70
2023-12-23 13:57:29,70
2023-12-23 14:09:44,70
2023-12-23 14:10:16,70
2023-12-23 14:10:49,70
2023-12-23 14:11:22,70
2023-12-23 14:11:54,70
2023-12-23 14:12:27,70
2023-12-23 18:20:20,70
2023-12-23 18:20:20,70
2023-12-23 19:58:32,70
2023-12-23 23:10:07,70
2023-12-23 23:10:40,70
2023-12-23 23:11:12,70
2023-12-23 23:11:45,70
2023-12-23 23:12:50,70
2023-12-23 23:13:22,70
2023-12-24 00:42:19,70
2023-12-24 00:55:20,70
2023-12-24 00:56:25,70
2023-12-24 00:56:57,70
2023-12-24 00:57:29,70
2023-12-24 00:58:02,70
2023-12-24 00:58:34,70
2023-12-24 00:59:07,70
2023-12-24 00:59:40,70
2023-12-24 02:23:23,70
2023-12-24 02:23:55,70
2023-12-24 02:24:28,70
2023-12-24 02:25:00,70
2023-12-24 02:25:28,70
2023-12-24 02:25:33,70
2023-12-24 02:26:00,70
2023-12-24 02:26:05,70
2023-12-24 02:26:33,70
2023-12-24 02:26:38,70
2023-12-24 02:27:05,70
2023-12-24 02:27:10,70
2023-12-24 02:27:38,70
2023-12-24 02:27:40,70
2023-12-24 02:27:43,70
2023-12-24 02:28:10,70
2023-12-24 02:28:13,70
2023-12-24 02:28:16,70
2023-12-24 02:28:43,70
2023-12-24 02:28:44,70
2023-12-24 02:28:48,70
2023-12-24 02:29:15,70
2023-12-24 02:29:17,70
2023-12-24 02:29:21,70
2023-12-24 02:29:50,70
2023-12-24 02:29:53,70
2023-12-24 02:29:54,70
2023-12-24 02:29:54,70
2023-12-24 02:30:22,70
2023-12-24 02:30:54,70
2023-12-24 02:30:55,70
2023-12-24 07:18:23,70
2023-12-24 07:18:23,70
2023-12-24 07:19:28,70
2023-12-24 07:19:28,70
2023-12-24 08:02:14,70
2023-12-24 08:02:46,70
2023-12-24 08:03:19,70
2023-12-24 08:03:51,70
2023-12-24 08:04:24,70
2023-12-24 08:04:56,70
2023-12-24 11:22:28,70
2023-12-24 11:23:55,70
2023-12-24 11:24:28,70
2023-12-24 11:25:55,70
2023-12-24 11:26:23,70
2023-12-24 11:26:28,70
2023-12-24 11:27:55,70
2023-12-24 11:28:28,70
2023-12-24 12:50:18,70
2023-12-24 12:51:23,70
2023-12-24 12:53:24,70
2023-12-24 13:08:16,70
2023-12-24 13:08:49,70
2023-12-24 13:09:21,70
2023-12-24 13:09:54,70
2023-12-24 13:10:26,70
2023-12-24 13:10:59,70
2023-12-24 13:11:31,70
2023-12-24 14:39:18,70
2023-12-24 14:39:50,70
2023-12-24 14:40:23,70
2023-12-24 14:40:55,70
2023-12-24 14:41:28,70
2023-12-24 14:42:00,70
2023-12-24 14:42:33,70
2023-12-24 20:25:23,70
2023-12-24 20:25:55,70
2023-12-24 20:26:28,70
2023-12-24 20:27:00,70
2023-12-24 20:27:33,70
2023-12-24 20:28:05,70
2023-12-24 20:28:38,70
2023-12-24 20:29:11,70
2023-12-25 01:27:23,70
2023-12-25 01:27:55,70
2023-12-25 01:28:28,70
2023-12-25 01:29:01,70
2023-12-25 01:29:02,70
2023-12-25 01:29:33,70
2023-12-25 01:30:06,70
2023-12-25 01:30:40,70
2023-12-25 01:31:13,70
2023-12-25 02:55:13,70
2023-12-25 02:55:45,70
2023-12-25 02:56:18,70
2023-12-25 02:56:56,70
2023-12-25 02:57:23,70
2023-12-25 02:57:28,70
2023-12-25 02:57:56,70
2023-12-25 02:58:01,70
2023-12-25 02:58:01,70
2023-12-25 02:58:01,70
2023-12-25 02:58:33,70
2023-12-25 02:58:33,70
2023-12-25 02:58:33,70
2023-12-25 02:59:06,70
2023-12-25 02:59:06,70
2023-12-25 02:59:06,70
2023-12-25 02:59:38,70
2023-12-25 02:59:38,70
2023-12-25 02:59:39,70
2023-12-25 02:59:39,70
2023-12-25 03:00:02,70
2023-12-25 03:00:11,70
2023-12-25 03:00:11,70
2023-12-25 03:00:11,70
2023-12-25 03:00:43,70
2023-12-25 03:00:43,70
2023-12-25 03:00:44,70
2023-12-25 03:00:44,70
2023-12-25 03:01:16,70
2023-12-25 03:01:16,70
2023-12-25 03:01:16,70
2023-12-25 11:50:15,70
2023-12-25 11:50:47,70
2023-12-25 11:51:20,70
2023-12-25 11:51:52,70
2023-12-25 11:56:12,70
2023-12-25 11:56:45,70
2023-12-25 11:57:17,70
2023-12-25 11:59:28,70
2023-12-25 13:21:19,70
2023-12-25 13:21:52,70
2023-12-25 13:22:36,70
2023-12-25 13:23:08,70
2023-12-25 13:23:12,70
2023-12-25 13:23:41,70
2023-12-25 13:23:44,70
2023-12-25 13:24:49,70
2023-12-25 13:24:53,70
2023-12-25 13:24:54,70
2023-12-25 13:24:58,70
2023-12-25 13:27:36,70
2023-12-25 13:27:41,70
2023-12-25 13:28:14,70
2023-12-25 13:28:46,70
2023-12-25 13:29:19,70
2023-12-25 13:29:51,70
2023-12-25 13:30:24,70
2023-12-25 13:37:24,70
2023-12-25 13:37:56,70
2023-12-25 13:38:29,70
2023-12-25 13:39:01,70
2023-12-25 13:39:34,70
2023-12-25 13:40:06,70
2023-12-25 13:41:11,70
2023-12-25 22:38:03,70
2023-12-25 22:38:35,70
2023-12-25 22:40:13,70
2023-12-26 00:08:05,70
2023-12-26 00:09:42,70
2023-12-26 00:10:15,70
2023-12-26 00:10:47,70
2023-12-26 00:11:20,70
2023-12-26 00:23:53,70
2023-12-26 00:24:26,70
2023-12-26 00:25:26,70
2023-12-26 00:25:31,70
2023-12-26 00:25:58,70
2023-12-26 00:26:31,70
2023-12-26 00:27:03,70
2023-12-26 01:53:48,70
2023-12-26 01:54:20,70
2023-12-26 01:55:52,70
2023-12-26 01:56:56,70
2023-12-26 01:57:28,70
2023-12-26 01:58:01,70
2023-12-26 01:58:33,70
2023-12-26 01:58:35,70
2023-12-26 01:59:08,70
2023-12-26 01:59:41,70
2023-12-26 02:00:13,70
2023-12-26 02:00:46,70
2023-12-26 03:24:13,70
2023-12-26 03:24:46,70
2023-12-26 03:25:18,70
2023-12-26 03:25:51,70
2023-12-26 03:26:23,70
2023-12-26 03:26:47,70
2023-12-26 03:26:56,70
2023-12-26 03:27:20,70
