"Time","Text"
2019-08-08 16:27:50,8.85 hour
2019-08-09 13:04:22,1.23 day
2019-08-09 13:05:07,1.23 day
2019-08-09 13:07:37,1.23 day
2019-08-09 13:07:52,1.23 day
2019-08-09 13:08:22,1.23 day
2019-08-10 09:40:54,2.09 day
2019-08-10 09:47:39,2.09 day
2019-08-10 11:26:39,2.16 day
2019-08-10 11:27:24,2.16 day
2019-08-11 05:00:41,2.89 day
2019-08-11 05:01:26,2.89 day
2019-08-11 05:01:56,2.89 day
2019-08-11 08:03:26,3.02 day
2019-08-11 08:03:41,3.02 day
2019-08-11 08:06:26,3.02 day
2019-08-11 08:06:41,3.02 day
2019-08-15 04:05:51,6.85 day
2019-08-16 05:48:38,1.132 week
2019-08-17 22:24:28,1.374 week
2019-08-17 22:26:13,1.374 week
2019-08-17 22:26:28,1.374 week
2019-08-17 22:27:43,1.374 week
2019-08-17 22:27:58,1.374 week
2019-08-17 22:28:13,1.374 week
2019-08-17 22:28:43,1.374 week
2019-08-18 00:03:28,1.384 week
2019-08-18 00:04:13,1.384 week
2019-08-18 00:05:28,1.384 week
2019-08-18 00:06:28,1.384 week
2019-08-18 00:07:13,1.384 week
2019-08-18 00:07:28,1.384 week
2019-08-18 00:48:13,1.388 week
2019-08-18 00:49:58,1.388 week
2019-08-18 00:51:43,1.388 week
2019-08-18 01:45:28,1.394 week
2019-08-18 01:46:28,1.394 week
2019-08-18 01:46:58,1.394 week
2019-08-18 01:48:28,1.394 week
2019-08-18 01:48:43,1.394 week
2019-08-18 01:48:58,1.394 week
2019-08-18 01:49:58,1.394 week
2019-08-18 02:31:28,1.398 week
2019-08-18 02:32:43,1.398 week
2019-08-18 02:33:28,1.398 week
2019-08-18 03:27:58,1.404 week
2019-08-18 04:10:43,1.408 week
2019-08-18 04:12:28,1.408 week
2019-08-18 04:13:43,1.408 week
2019-08-18 09:57:59,1.443 week
2019-08-18 22:26:15,1.517 week
2019-08-18 22:28:00,1.517 week
2019-08-18 22:29:30,1.517 week
2019-08-18 22:36:45,1.518 week
2019-08-18 22:37:00,1.518 week
2019-08-18 22:37:30,1.518 week
2019-08-18 22:38:00,1.518 week
