"Time","Text"
2019-07-23 20:56:57,ADCS Off
2019-07-23 21:00:27,ADCS Off
2019-07-23 21:04:27,ADCS Off
2019-07-23 22:38:57,ADCS Off
2019-07-23 22:38:57,ADCS Off
2019-07-23 22:39:27,ADCS Off
2019-07-23 22:40:27,ADCS Off
2019-07-23 22:40:42,ADCS Off
2019-07-24 09:42:58,ADCS Off
2019-07-24 21:02:44,ADCS Off
2019-07-25 18:50:25,ADCS Off
2019-07-25 18:50:55,ADCS Off
2019-07-25 19:26:40,ADCS Off
2019-07-25 21:01:40,ADCS Off
2019-07-25 21:03:10,ADCS Off
2019-07-25 21:04:25,ADCS Off
2019-07-26 08:05:56,ADCS Off
2019-07-26 11:59:41,ADCS Off
2019-07-26 11:59:56,ADCS Off
2019-07-26 12:02:41,ADCS Off
2019-07-26 13:41:57,ADCS Off
2019-07-26 13:42:42,ADCS Off
2019-07-26 15:28:27,ADCS Off
2019-07-26 17:07:27,ADCS Off
2019-07-27 11:31:36,ADCS Off
2019-07-27 13:44:51,ADCS Off
2019-07-27 15:26:36,ADCS Off
2019-07-27 15:27:21,ADCS Off
2019-07-27 17:11:36,ADCS Off
2019-07-27 17:12:51,ADCS Off
2019-07-27 17:13:36,ADCS Off
2019-07-27 17:44:21,ADCS Off
2019-07-27 19:28:22,ADCS Off
2019-07-27 19:28:52,ADCS Off
2019-07-28 06:28:38,ADCS Off
2019-07-28 06:28:53,ADCS Off
2019-07-28 13:46:08,ADCS Off
2019-07-28 13:50:23,ADCS Off
2019-07-28 15:30:08,ADCS Off
2019-07-28 15:30:09,ADCS Off
2019-07-28 15:30:23,ADCS Off
2019-07-28 15:30:54,ADCS Off
2019-07-28 15:31:54,ADCS Off
2019-07-28 15:32:24,ADCS Off
2019-07-28 15:32:39,ADCS Off
2019-07-28 16:08:54,ADCS Off
2019-07-28 17:13:39,ADCS Off
2019-07-28 17:14:24,ADCS Off
2019-07-28 17:15:09,ADCS Off
2019-07-28 17:15:24,ADCS Off
2019-07-28 17:47:24,ADCS Off
2019-07-28 17:47:24,ADCS Off
2019-07-28 17:47:39,ADCS Off
2019-07-28 17:47:39,ADCS Off
2019-07-28 17:48:24,ADCS Off
2019-07-28 19:27:24,ADCS Off
2019-07-28 19:28:09,ADCS Off
2019-07-28 19:29:09,ADCS Off
2019-07-29 06:30:48,ADCS Off
2019-07-29 15:35:34,ADCS Off
2019-07-29 15:35:49,ADCS Off
2019-07-30 10:25:51,ADCS Off
2019-07-30 10:26:06,ADCS Off
2019-07-30 10:28:06,ADCS Off
2019-07-30 10:28:21,ADCS Off
2019-07-30 10:28:36,ADCS Off
2019-07-30 10:29:21,ADCS Off
2019-07-30 13:48:36,ADCS Off
2019-07-30 13:50:36,ADCS Off
2019-07-30 13:50:51,ADCS Off
2019-07-30 16:11:36,ADCS Off
2019-08-07 01:43:08,ADCS Off
2019-08-07 06:35:53,ADCS Off
2019-08-07 06:36:23,ADCS Off
2019-08-07 06:36:53,ADCS Off
2019-08-07 08:58:38,ADCS Off
2019-08-07 09:43:38,ADCS Off
2019-08-07 10:39:24,ADCS Off
2019-08-07 11:16:54,ADCS Off
2019-08-07 11:17:24,ADCS Off
2019-08-07 11:19:54,ADCS Off
2019-08-07 11:19:54,ADCS Off
2019-08-07 11:23:54,ADCS Off
2019-08-07 12:22:24,ADCS Off
2019-08-07 16:25:09,ADCS Off
2019-08-07 16:26:09,ADCS Off
2019-08-07 16:26:39,ADCS Off
2019-08-08 01:43:40,ADCS Off
2019-08-08 05:08:25,ADCS Off
2019-08-08 05:08:55,ADCS Off
2019-08-08 05:09:10,ADCS Off
2019-08-08 05:09:25,ADCS Off
2019-08-08 05:10:25,ADCS Off
2019-08-08 07:17:56,ADCS Off
2019-08-08 07:18:56,ADCS Off
2019-08-08 08:57:49,ADCS Off
2019-08-08 09:40:49,ADCS Off
2019-08-08 09:43:04,ADCS Off
2019-08-08 09:46:49,ADCS Off
2019-08-08 10:42:50,ADCS Off
2019-08-08 11:19:05,ADCS Off
2019-08-08 11:19:50,ADCS Off
2019-08-08 11:23:35,ADCS Off
2019-08-08 11:23:50,ADCS Off
2019-08-08 11:27:50,ADCS Off
2019-08-08 13:03:05,ADCS Off
2019-08-08 13:03:20,ADCS Off
2019-08-08 13:03:50,ADCS Off
2019-08-08 13:03:50,ADCS Off
2019-08-08 13:04:05,ADCS Off
2019-08-08 13:04:05,ADCS Off
2019-08-08 13:08:35,ADCS Off
2019-08-08 13:08:50,ADCS Off
2019-08-08 13:09:05,ADCS Off
2019-08-08 14:45:35,ADCS Off
2019-08-08 14:45:35,ADCS Off
2019-08-08 16:23:05,ADCS Off
2019-08-08 16:24:05,ADCS Off
2019-08-08 16:26:50,ADCS Off
2019-08-08 16:27:50,ADCS Off
2019-08-09 13:04:22,ADCS Off
2019-08-09 13:05:07,ADCS Off
2019-08-09 13:07:37,ADCS Off
2019-08-09 13:07:52,ADCS Off
2019-08-09 13:08:22,ADCS Off
2019-08-10 09:40:54,ADCS Off
2019-08-10 09:47:39,ADCS Off
2019-08-10 11:26:39,ADCS Off
2019-08-10 11:27:24,ADCS Off
2019-08-11 05:00:41,ADCS Off
2019-08-11 05:01:26,ADCS Off
2019-08-11 05:01:56,ADCS Off
2019-08-11 08:03:26,ADCS Off
2019-08-11 08:03:41,ADCS Off
2019-08-11 08:06:26,ADCS Off
2019-08-11 08:06:41,ADCS Off
2019-08-15 04:05:51,ADCS Off
2019-08-16 05:48:38,ADCS Off
2019-08-17 22:24:28,ADCS Off
2019-08-17 22:26:13,ADCS Off
2019-08-17 22:26:28,ADCS Off
2019-08-17 22:27:43,ADCS Off
2019-08-17 22:27:58,ADCS Off
2019-08-17 22:28:13,ADCS Off
2019-08-17 22:28:43,ADCS Off
2019-08-18 00:03:28,ADCS Off
2019-08-18 00:04:13,ADCS Off
2019-08-18 00:05:28,ADCS Off
2019-08-18 00:06:28,ADCS Off
2019-08-18 00:07:13,ADCS Off
2019-08-18 00:07:28,ADCS Off
2019-08-18 00:48:13,ADCS Off
2019-08-18 00:49:58,ADCS Off
2019-08-18 00:51:43,ADCS Off
2019-08-18 01:45:28,ADCS Off
2019-08-18 01:46:28,ADCS Off
2019-08-18 01:46:58,ADCS Off
2019-08-18 01:48:28,ADCS Off
2019-08-18 01:48:43,ADCS Off
2019-08-18 01:48:58,ADCS Off
2019-08-18 01:49:58,ADCS Off
2019-08-18 02:31:28,ADCS Off
2019-08-18 02:32:43,ADCS Off
2019-08-18 02:33:28,ADCS Off
2019-08-18 03:27:58,ADCS Off
2019-08-18 04:10:43,ADCS Off
2019-08-18 04:12:28,ADCS Off
2019-08-18 04:13:43,ADCS Off
2019-08-18 09:57:59,ADCS Off
2019-08-18 22:26:15,ADCS Off
2019-08-18 22:28:00,ADCS Off
2019-08-18 22:29:30,ADCS Off
2019-08-18 22:36:45,ADCS Off
2019-08-18 22:37:00,ADCS Off
2019-08-18 22:37:30,ADCS Off
2019-08-18 22:38:00,ADCS Off
2019-08-18 23:08:45,ADCS Off
2019-08-19 00:05:00,ADCS Off
2019-08-19 00:08:15,ADCS Off
2019-08-19 00:09:00,ADCS Off
2019-08-19 00:10:15,ADCS Off
2019-08-19 00:10:30,ADCS Off
2019-08-19 00:10:45,ADCS Off
2019-08-19 00:20:00,ADCS Off
2019-08-19 00:51:00,ADCS Off
2019-08-19 00:51:15,ADCS Off
2019-08-19 00:53:30,ADCS Off
2019-08-19 01:47:45,ADCS Off
2019-08-19 01:49:30,ADCS Off
2019-08-19 01:53:45,ADCS Off
2019-08-19 02:29:31,ADCS Off
2019-08-19 02:30:01,ADCS Off
2019-08-19 02:32:46,ADCS Off
2019-08-19 02:35:16,ADCS Off
2019-08-19 02:36:01,ADCS Off
2019-08-19 03:29:01,ADCS Off
2019-08-19 04:11:46,ADCS Off
2019-08-19 04:12:01,ADCS Off
2019-08-19 04:12:31,ADCS Off
2019-08-19 04:14:31,ADCS Off
2019-08-19 04:16:16,ADCS Off
2019-08-19 04:16:31,ADCS Off
2019-08-19 04:52:16,ADCS Off
2019-08-19 05:53:16,ADCS Off
2019-08-19 05:54:46,ADCS Off
2019-08-19 05:56:01,ADCS Off
2019-08-19 05:56:46,ADCS Off
2019-08-19 06:33:01,ADCS Off
2019-08-19 06:34:16,ADCS Off
2019-08-19 06:35:01,ADCS Off
2019-08-19 08:13:01,ADCS Off
2019-08-19 08:13:46,ADCS Off
2019-08-19 08:18:01,ADCS Off
2019-08-19 20:57:02,ADCS Off
2019-08-23 21:32:28,ADCS Off
2019-08-23 21:32:43,ADCS Off
2019-08-23 21:32:58,ADCS Off
2019-08-23 21:35:43,ADCS Off
2019-08-23 21:37:28,ADCS Off
2019-08-23 21:37:43,ADCS Off
2019-08-24 01:00:13,ADCS Off
2019-08-24 01:00:28,ADCS Off
2019-08-24 01:02:13,ADCS Off
2019-08-24 02:42:58,ADCS Off
2019-08-24 02:44:13,ADCS Off
2019-08-24 02:44:43,ADCS Off
2019-08-24 02:44:58,ADCS Off
2019-08-24 19:52:15,ADCS Off
2019-08-24 19:53:45,ADCS Off
2019-08-24 21:38:30,ADCS Off
2019-08-25 01:01:01,ADCS Off
2019-08-25 01:01:31,ADCS Off
2019-08-25 01:02:01,ADCS Off
2019-08-25 01:02:16,ADCS Off
2019-08-25 01:03:31,ADCS Off
2019-08-25 02:44:16,ADCS Off
2019-08-25 04:26:31,ADCS Off
2019-08-30 18:17:45,ADCS Off
2019-08-30 18:19:00,ADCS Off
2019-08-30 18:19:30,ADCS Off
2019-08-30 18:20:30,ADCS Off
2019-08-30 18:21:00,ADCS Off
2019-08-30 18:21:45,ADCS Off
2019-08-30 21:46:46,ADCS Off
2019-08-30 23:25:01,ADCS Off
2019-08-30 23:26:31,ADCS Off
2019-08-30 23:27:01,ADCS Off
2019-08-30 23:27:16,ADCS Off
2019-08-30 23:29:16,ADCS Off
2019-08-31 01:08:46,ADCS Off
2019-08-31 01:10:46,ADCS Off
2019-08-31 01:11:01,ADCS Off
2019-08-31 01:11:31,ADCS Off
2019-08-31 16:37:48,ADCS Off
2019-08-31 18:19:33,ADCS Off
2019-08-31 18:20:03,ADCS Off
2019-08-31 23:28:03,ADCS Off
2019-08-31 23:28:18,ADCS Off
2019-08-31 23:30:18,ADCS Off
2019-09-09 22:24:33,ADCS Off
2019-09-10 14:24:04,ADCS Off
2019-09-10 14:24:49,ADCS Off
2019-09-10 14:25:34,ADCS Off
2019-09-22 22:53:50,ADCS Off
2019-09-22 22:54:20,ADCS Off
2019-09-22 22:54:35,ADCS Off
2019-09-22 22:56:50,ADCS Off
2019-09-22 22:57:35,ADCS Off
2019-10-17 00:03:14,ADCS Off
2019-10-18 17:17:15,ADCS Off
2019-10-18 17:18:45,ADCS Off
2019-10-18 17:20:00,ADCS Off
2019-10-18 17:52:00,ADCS Off
2019-10-18 18:58:31,ADCS Off
2019-10-18 18:59:31,ADCS Off
2019-10-18 22:22:16,ADCS Off
2019-10-18 22:22:46,ADCS Off
2019-10-18 22:23:16,ADCS Off
2019-10-18 22:24:01,ADCS Off
2019-10-18 22:24:16,ADCS Off
2019-10-19 00:03:46,ADCS Off
2019-10-19 00:04:31,ADCS Off
2019-10-19 15:38:33,ADCS Off
2019-10-19 17:18:03,ADCS Off
2019-10-19 19:56:33,ADCS Off
2019-10-22 20:40:39,ADCS Off
2019-10-22 20:41:09,ADCS Off
2019-10-22 20:41:24,ADCS Off
2019-10-22 22:52:24,ADCS Off
2019-10-22 22:54:09,ADCS Off
2019-10-22 22:54:24,ADCS Off
2019-10-22 22:54:54,ADCS Off
2019-10-22 22:56:24,ADCS Off
2019-10-22 22:56:24,ADCS Off
2019-10-22 22:56:54,ADCS Off
2019-10-22 22:57:09,ADCS Off
