Time,Sun Position 1
2020-04-21 03:00:00,128118901
2020-04-22 03:00:00,126181895
2020-04-23 03:00:00,125520302
2020-04-24 03:00:00,123475650
2020-04-25 03:00:00,122028208
2020-04-26 03:00:00,121118226
2020-04-27 03:00:00,120139775
2020-04-28 03:00:00,-1
2020-04-29 03:00:00,-1
2020-04-30 03:00:00,116591693
2020-05-01 03:00:00,113338914
2020-05-02 03:00:00,111665325
2020-05-03 03:00:00,109172641
2020-05-04 03:00:00,108219647
2020-05-05 03:00:00,106447765
2020-05-06 03:00:00,104645257
2020-05-07 03:00:00,-1
2020-05-08 03:00:00,100954329
2020-05-09 03:00:00,98195597
2020-05-10 03:00:00,97145862
2020-05-11 03:00:00,95876013
2020-05-12 03:00:00,93015814
2020-05-13 03:00:00,91219600
2020-05-14 03:00:00,89461628
2020-05-15 03:00:00,87136672
2020-05-16 03:00:00,85508871
2020-05-17 03:00:00,-1
2020-05-18 03:00:00,-1
2020-05-19 03:00:00,-1
2020-05-20 03:00:00,-1
2020-05-21 03:00:00,75294572
2020-05-22 03:00:00,72381129
2020-05-23 03:00:00,69992425
2020-05-24 03:00:00,66708408
2020-05-25 03:00:00,64425659
2020-05-26 03:00:00,63167945
2020-05-27 03:00:00,60850672
2020-05-28 03:00:00,58521212
2020-05-29 03:00:00,55101056
2020-05-30 03:00:00,53959965
2020-05-31 03:00:00,51429011
2020-06-01 03:00:00,47946345
2020-06-02 03:00:00,45855451
2020-06-03 03:00:00,44371820
2020-06-04 03:00:00,41937940
2020-06-05 03:00:00,-1
2020-06-06 03:00:00,-1
2020-06-07 03:00:00,-1
2020-06-08 03:00:00,31142367
2020-06-09 03:00:00,29618619
2020-06-10 03:00:00,28079476
2020-06-11 03:00:00,24792521
2020-06-12 03:00:00,22827660
2020-06-13 03:00:00,19603742
2020-06-14 03:00:00,15937609
2020-06-15 03:00:00,14560225
2020-06-16 03:00:00,12742293
2020-06-17 03:00:00,9494711
2020-06-18 03:00:00,6960077
2020-06-19 03:00:00,3273233
2020-06-20 03:00:00,2764074
2020-06-21 03:00:00,-1811885
2020-06-22 03:00:00,-3463997
2020-06-23 03:00:00,-1
2020-06-24 03:00:00,-8107954
2020-06-25 03:00:00,-9927046
2020-06-26 03:00:00,-14485587
2020-06-27 03:00:00,-14987778
2020-06-28 03:00:00,-1
2020-06-29 03:00:00,-21712242
2020-06-30 03:00:00,-22542937
2020-07-01 03:00:00,-24795898
2020-07-02 03:00:00,-27549934
2020-07-03 03:00:00,-30742034
2020-07-04 03:00:00,-33057524
2020-07-05 03:00:00,-36807523
2020-07-06 03:00:00,-37459769
2020-07-07 03:00:00,-40602055
2020-07-08 03:00:00,-43038945
2020-07-09 03:00:00,-45314441
2020-07-10 03:00:00,-47044046
2020-07-11 03:00:00,-50130854
2020-07-12 03:00:00,-1
2020-07-13 03:00:00,-55288232
2020-07-14 03:00:00,-58147806
2020-07-15 03:00:00,-1
2020-07-16 03:00:00,-61564420
2020-07-17 03:00:00,-65258535
2020-07-18 03:00:00,-66352965
2020-07-19 03:00:00,-68779340
