Time,Moon Position 1
2020-03-30 03:00:00,96547.0
2020-03-31 03:00:00,5093.0
2020-04-01 03:00:00,-118903.0
2020-04-02 03:00:00,-192053.0
2020-04-03 03:00:00,-263814.0
2020-04-04 03:00:00,-312150.0
2020-04-05 03:00:00,-335044.0
2020-04-06 03:00:00,-350441.0
2020-04-07 03:00:00,1.0
2020-04-08 03:00:00,-330662.0
2020-04-09 03:00:00,1.0
2020-04-10 03:00:00,1.0
2020-04-11 03:00:00,1.0
2020-04-12 03:00:00,1.0
2020-04-13 03:00:00,1.0
2020-04-14 03:00:00,1.0
2020-04-15 03:00:00,1.0
2020-04-16 03:00:00,1.0
2020-04-17 03:00:00,1.0
2020-04-18 03:00:00,1.0
2020-04-19 03:00:00,1.0
2020-04-20 03:00:00,404698.0
2020-04-21 03:00:00,393596.0
2020-04-22 03:00:00,346555.0
2020-04-23 03:00:00,323374.0
2020-04-24 03:00:00,234037.0
2020-04-25 03:00:00,159060.0
2020-04-26 03:00:00,108946.0
2020-04-27 03:00:00,53781.0
2020-04-28 03:00:00,1.0
2020-04-29 03:00:00,1.0
2020-04-30 03:00:00,-140106.0
2020-05-01 03:00:00,-279199.0
2020-05-02 03:00:00,-326527.0
2020-05-03 03:00:00,-359905.0
2020-05-04 03:00:00,-360379.0
2020-05-05 03:00:00,-343566.0
2020-05-06 03:00:00,-304664.0
2020-05-07 03:00:00,1.0
2020-05-08 03:00:00,-172133.0
2020-05-09 03:00:00,-46884.0
2020-05-10 03:00:00,2407.0
2020-05-11 03:00:00,61328.0
2020-05-12 03:00:00,184792.0
2020-05-13 03:00:00,251630.0
2020-05-14 03:00:00,306585.0
2020-05-15 03:00:00,361177.0
2020-05-16 03:00:00,386293.0
2020-05-17 03:00:00,1.0
2020-05-18 03:00:00,1.0
2020-05-19 03:00:00,1.0
2020-05-20 03:00:00,1.0
2020-05-21 03:00:00,302634.0
2020-05-22 03:00:00,216208.0
2020-05-23 03:00:00,132861.0
2020-05-24 03:00:00,8926.0
2020-05-25 03:00:00,-77489.0
2020-05-26 03:00:00,-123330.0
2020-05-27 03:00:00,-201598.0
2020-05-28 03:00:00,-268623.0
2020-05-29 03:00:00,-338215.0
2020-05-30 03:00:00,-352452.0
2020-05-31 03:00:00,-366394.0
2020-06-01 03:00:00,-344899.0
2020-06-02 03:00:00,-310362.0
2020-06-03 03:00:00,-277056.0
2020-06-04 03:00:00,-209079.0
2020-06-05 03:00:00,1.0
2020-06-06 03:00:00,1.0
2020-06-07 03:00:00,1.0
2020-06-08 03:00:00,171335.0
2020-06-09 03:00:00,219414.0
2020-06-10 03:00:00,263467.0
2020-06-11 03:00:00,339235.0
2020-06-12 03:00:00,371013.0
2020-06-13 03:00:00,399292.0
2020-06-14 03:00:00,394513.0
2020-06-15 03:00:00,382747.0
2020-06-16 03:00:00,359274.0
2020-06-17 03:00:00,296565.0
2020-06-18 03:00:00,231563.0
2020-06-19 03:00:00,118234.0
2020-06-20 03:00:00,101345.0
2020-06-21 03:00:00,-55449.0
2020-06-22 03:00:00,-111114.0
2020-06-23 03:00:00,1.0
2020-06-24 03:00:00,-249955.0
2020-06-25 03:00:00,-292946.0
2020-06-26 03:00:00,-360304.0
2020-06-27 03:00:00,-363705.0
2020-06-28 03:00:00,1.0
2020-06-29 03:00:00,-325906.0
2020-06-30 03:00:00,-310787.0
2020-07-01 03:00:00,-259636.0
2020-07-02 03:00:00,-179978.0
2020-07-03 03:00:00,-71306.0
2020-07-04 03:00:00,12840.0
2020-07-05 03:00:00,146758.0
2020-07-06 03:00:00,168710.0
2020-07-07 03:00:00,264559.0
2020-07-08 03:00:00,324187.0
2020-07-09 03:00:00,365554.0
2020-07-10 03:00:00,386727.0
2020-07-11 03:00:00,401002.0
2020-07-12 03:00:00,1.0
2020-07-13 03:00:00,356325.0
2020-07-14 03:00:00,296627.0
2020-07-15 03:00:00,1.0
2020-07-16 03:00:00,197725.0
2020-07-17 03:00:00,66334.0
2020-07-18 03:00:00,24568.0
2020-07-19 03:00:00,-69038.0
2020-07-20 03:00:00,1.0
2020-07-21 03:00:00,1.0
2020-07-22 03:00:00,-287326.0
2020-07-23 03:00:00,-336453.0
2020-07-24 03:00:00,-361919.0
2020-07-25 03:00:00,1.0
2020-07-26 03:00:00,-347251.0
2020-07-27 03:00:00,-307993.0
2020-07-28 03:00:00,-250189.0
2020-07-29 03:00:00,-204303.0
2020-07-30 03:00:00,-94752.0
2020-07-31 03:00:00,34485.0
2020-08-01 03:00:00,122050.0
2020-08-02 03:00:00,175920.0
2020-08-03 03:00:00,269912.0
2020-08-04 03:00:00,327937.0
2020-08-05 03:00:00,370174.0
2020-08-06 03:00:00,384204.0
2020-08-07 03:00:00,399858.0
2020-08-08 03:00:00,399131.0
2020-08-09 03:00:00,381895.0
2020-08-10 03:00:00,351517.0
2020-08-11 03:00:00,283941.0
2020-08-12 03:00:00,194139.0
2020-08-13 03:00:00,134513.0
2020-08-14 03:00:00,72204.0
2020-08-15 03:00:00,1.0
2020-08-16 03:00:00,-122442.0
2020-08-17 03:00:00,-181659.0
2020-08-18 03:00:00,-264555.0
2020-08-19 03:00:00,-319893.0
2020-08-20 03:00:00,-350490.0
2020-08-21 03:00:00,-359277.0
2020-08-22 03:00:00,-356169.0
2020-08-23 03:00:00,-293602.0
2020-08-24 03:00:00,-281327.0
2020-08-25 03:00:00,-179333.0
