Time,tlm_mb_battpack_0_element_0_current mA (A)
2023-07-05 03:00:00,104.0
2023-07-05 03:00:00,107.0
2023-07-05 03:00:00,113.0
2023-07-05 03:00:00,86.0
2023-07-05 03:00:00,84.0
2023-07-05 03:00:00,97.0
2023-07-05 03:00:00,101.0
2023-07-05 03:00:00,99.0
2023-07-05 03:00:00,103.0
2023-07-05 03:00:00,88.0
2023-07-05 03:00:00,85.0
2023-07-05 03:00:00,82.0
2023-07-05 03:00:00,86.0
2023-07-05 03:00:00,93.0
2023-07-05 03:00:00,12.0
2023-07-05 03:00:00,52.4
2023-07-05 03:00:00,214.0
2023-07-05 03:00:00,52.4
2023-07-05 03:00:00,2.4
2023-07-05 03:00:00,52.4
2023-07-05 03:00:00,52.4
2023-07-05 03:00:00,30.0
2023-07-05 03:00:00,261.0
2023-07-05 03:00:00,44.0
2023-07-05 03:00:00,42.0
2023-07-06 03:00:00,96.0
2023-07-06 03:00:00,112.0
2023-07-06 03:00:00,80.0
2023-07-06 03:00:00,76.0
2023-07-06 03:00:00,49.0
2023-07-06 03:00:00,4.0
2023-07-06 03:00:00,101.0
2023-07-06 03:00:00,110.0
2023-07-06 03:00:00,95.0
2023-07-06 03:00:00,108.0
2023-07-06 03:00:00,130.0
2023-07-06 03:00:00,118.0
2023-07-06 03:00:00,103.0
2023-07-06 03:00:00,90.0
2023-07-06 03:00:00,86.0
2023-07-06 03:00:00,106.0
2023-07-06 03:00:00,94.0
2023-07-06 03:00:00,26.0
2023-07-06 03:00:00,12.0
2023-07-06 03:00:00,98.0
2023-07-06 03:00:00,52.4
2023-07-07 03:00:00,84.0
2023-07-07 03:00:00,81.0
2023-07-07 03:00:00,96.0
2023-07-07 03:00:00,74.0
2023-07-07 03:00:00,49.0
2023-07-07 03:00:00,44.0
2023-07-07 03:00:00,89.0
2023-07-07 03:00:00,102.0
2023-07-07 03:00:00,78.0
2023-07-07 03:00:00,75.0
2023-07-07 03:00:00,72.0
2023-07-07 03:00:00,78.0
2023-07-07 03:00:00,98.0
2023-07-07 03:00:00,83.0
2023-07-07 03:00:00,12.0
2023-07-08 03:00:00,94.0
2023-07-08 03:00:00,90.0
2023-07-08 03:00:00,103.0
2023-07-08 03:00:00,85.0
2023-07-08 03:00:00,83.0
2023-07-08 03:00:00,81.0
2023-07-08 03:00:00,75.0
2023-07-08 03:00:00,35.0
2023-07-08 03:00:00,4.0
2023-07-08 03:00:00,52.4
2023-07-08 03:00:00,78.0
2023-07-08 03:00:00,86.0
2023-07-08 03:00:00,73.0
2023-07-08 03:00:00,12.0
2023-07-09 03:00:00,108.0
2023-07-09 03:00:00,98.0
2023-07-09 03:00:00,77.0
2023-07-09 03:00:00,52.4
2023-07-09 03:00:00,87.0
2023-07-09 03:00:00,98.0
2023-07-09 03:00:00,92.0
2023-07-09 03:00:00,74.0
2023-07-09 03:00:00,84.0
2023-07-09 03:00:00,94.0
2023-07-09 03:00:00,72.0
2023-07-09 03:00:00,70.0
2023-07-09 03:00:00,90.0
2023-07-09 03:00:00,86.0
2023-07-09 03:00:00,109.0
2023-07-09 03:00:00,48.0
2023-07-09 03:00:00,51.0
2023-07-09 03:00:00,49.0
2023-07-09 03:00:00,23.0
2023-07-09 03:00:00,4.0
2023-07-09 03:00:00,12.0
2023-07-09 03:00:00,52.4
2023-07-09 03:00:00,83.0
2023-07-10 03:00:00,77.0
2023-07-10 03:00:00,80.0
2023-07-10 03:00:00,72.0
2023-07-10 03:00:00,89.0
2023-07-10 03:00:00,68.0
2023-07-10 03:00:00,52.4
2023-07-10 03:00:00,82.0
2023-07-10 03:00:00,86.0
2023-07-10 03:00:00,98.0
2023-07-10 03:00:00,105.0
2023-07-10 03:00:00,86.0
2023-07-10 03:00:00,70.0
2023-07-10 03:00:00,90.0
2023-07-10 03:00:00,52.3
2023-07-10 03:00:00,12.0
2023-07-10 03:00:00,35.0
2023-07-11 03:00:00,86.0
2023-07-11 03:00:00,82.0
2023-07-11 03:00:00,81.0
2023-07-11 03:00:00,51.0
2023-07-11 03:00:00,42.0
2023-07-11 03:00:00,77.0
2023-07-11 03:00:00,90.0
2023-07-11 03:00:00,85.0
2023-07-11 03:00:00,80.0
2023-07-11 03:00:00,74.0
2023-07-11 03:00:00,84.0
2023-07-11 03:00:00,72.0
2023-07-11 03:00:00,52.4
2023-07-11 03:00:00,52.4
2023-07-11 03:00:00,52.3
2023-07-11 03:00:00,222.0
2023-07-11 03:00:00,52.4
2023-07-11 03:00:00,52.4
2023-07-11 03:00:00,12.0
2023-07-11 03:00:00,45.0
2023-07-11 03:00:00,43.0
2023-07-11 03:00:00,88.0
2023-07-11 03:00:00,98.0
2023-07-11 03:00:00,98.0
2023-07-11 03:00:00,4.0
2023-07-11 03:00:00,38.0
2023-07-11 03:00:00,14.0
2023-07-12 03:00:00,79.0
2023-07-12 03:00:00,90.0
2023-07-12 03:00:00,87.0
2023-07-12 03:00:00,73.0
2023-07-12 03:00:00,94.0
2023-07-12 03:00:00,114.0
2023-07-12 03:00:00,86.0
2023-07-12 03:00:00,96.0
2023-07-12 03:00:00,95.0
2023-07-12 03:00:00,74.0
2023-07-12 03:00:00,51.0
2023-07-12 03:00:00,49.0
2023-07-12 03:00:00,52.0
2023-07-12 03:00:00,54.0
2023-07-12 03:00:00,46.0
2023-07-12 03:00:00,52.4
2023-07-12 03:00:00,12.0
2023-07-12 03:00:00,52.4
2023-07-12 03:00:00,4.0
2023-07-13 03:00:00,81.0
2023-07-13 03:00:00,92.0
2023-07-13 03:00:00,74.0
2023-07-13 03:00:00,82.0
2023-07-13 03:00:00,69.0
2023-07-13 03:00:00,54.0
2023-07-13 03:00:00,102.0
2023-07-13 03:00:00,94.0
2023-07-13 03:00:00,85.0
2023-07-13 03:00:00,86.0
2023-07-13 03:00:00,83.0
2023-07-13 03:00:00,99.0
2023-07-13 03:00:00,111.0
2023-07-13 03:00:00,4.0
2023-07-13 03:00:00,12.0
2023-07-13 03:00:00,35.0
2023-07-13 03:00:00,21.0
2023-07-13 03:00:00,74.0
2023-07-13 03:00:00,52.4
2023-07-14 03:00:00,56.0
2023-07-14 03:00:00,105.0
2023-07-14 03:00:00,92.0
2023-07-14 03:00:00,94.0
2023-07-14 03:00:00,81.0
2023-07-14 03:00:00,52.4
2023-07-14 03:00:00,82.0
2023-07-14 03:00:00,76.0
2023-07-14 03:00:00,82.0
2023-07-14 03:00:00,52.4
2023-07-14 03:00:00,52.4
2023-07-14 03:00:00,52.4
2023-07-14 03:00:00,52.4
2023-07-14 03:00:00,52.4
2023-07-14 03:00:00,12.0
2023-07-15 03:00:00,82.0
2023-07-15 03:00:00,91.0
2023-07-15 03:00:00,41.0
2023-07-15 03:00:00,84.0
2023-07-15 03:00:00,78.0
2023-07-15 03:00:00,54.0
2023-07-15 03:00:00,62.0
2023-07-15 03:00:00,12.0
2023-07-15 03:00:00,52.4
2023-07-15 03:00:00,93.0
2023-07-15 03:00:00,87.0
2023-07-15 03:00:00,99.0
2023-07-15 03:00:00,74.0
2023-07-15 03:00:00,52.4
2023-07-15 03:00:00,52.4
2023-07-15 03:00:00,10.0
2023-07-15 03:00:00,4.0
2023-07-15 03:00:00,52.4
2023-07-15 03:00:00,94.0
2023-07-15 03:00:00,52.4
2023-07-15 03:00:00,70.0
2023-07-15 03:00:00,52.4
2023-07-16 03:00:00,83.0
2023-07-16 03:00:00,80.0
2023-07-16 03:00:00,85.0
2023-07-16 03:00:00,90.0
2023-07-16 03:00:00,70.0
2023-07-16 03:00:00,65.0
2023-07-16 03:00:00,44.0
2023-07-16 03:00:00,51.0
2023-07-16 03:00:00,63.0
2023-07-16 03:00:00,77.0
2023-07-16 03:00:00,88.0
2023-07-16 03:00:00,82.0
2023-07-16 03:00:00,90.0
2023-07-16 03:00:00,52.4
2023-07-16 03:00:00,52.4
2023-07-16 03:00:00,50.0
2023-07-16 03:00:00,46.0
2023-07-16 03:00:00,56.0
2023-07-16 03:00:00,50.0
2023-07-16 03:00:00,52.4
2023-07-16 03:00:00,12.0
2023-07-16 03:00:00,4.0
2023-07-16 03:00:00,38.0
2023-07-16 03:00:00,66.0
2023-07-16 03:00:00,64.0
2023-07-16 03:00:00,70.0
2023-07-16 03:00:00,41.0
2023-07-17 03:00:00,46.0
2023-07-17 03:00:00,46.0
2023-07-17 03:00:00,12.0
2023-07-17 03:00:00,52.4
2023-07-17 03:00:00,52.4
2023-07-17 03:00:00,98.0
2023-07-17 03:00:00,94.0
2023-07-17 03:00:00,82.0
2023-07-17 03:00:00,122.0
2023-07-17 03:00:00,93.0
2023-07-17 03:00:00,110.0
2023-07-17 03:00:00,99.0
2023-07-17 03:00:00,81.0
2023-07-17 03:00:00,73.0
2023-07-17 03:00:00,71.0
2023-07-17 03:00:00,52.4
2023-07-17 03:00:00,102.0
2023-07-17 03:00:00,96.0
2023-07-17 03:00:00,92.0
2023-07-17 03:00:00,89.0
2023-07-17 03:00:00,86.0
2023-07-17 03:00:00,35.0
2023-07-17 03:00:00,4.0
2023-07-17 03:00:00,38.0
2023-07-17 03:00:00,52.4
2023-07-17 03:00:00,78.0
2023-07-17 03:00:00,33.0
2023-07-17 03:00:00,76.0
2023-07-17 03:00:00,60.0
2023-07-17 03:00:00,58.0
2023-07-17 03:00:00,42.0
2023-07-17 03:00:00,42.0
2023-07-17 03:00:00,43.0
2023-07-18 03:00:00,73.0
2023-07-18 03:00:00,70.0
