"Time","tlm_mb_adc_temp_1"
2023-07-08 03:00:00,6.6 °C
2023-07-08 03:00:00,7.1 °C
2023-07-08 03:00:00,7.6 °C
2023-07-08 03:00:00,8.7 °C
2023-07-08 03:00:00,9.2 °C
2023-07-08 03:00:00,503 °C
2023-07-08 03:00:00,503 °C
2023-07-08 03:00:00,504 °C
2023-07-08 03:00:00,7.2 °C
2023-07-08 03:00:00,505 °C
2023-07-08 03:00:00,505 °C
2023-07-08 03:00:00,506 °C
2023-07-09 03:00:00,7.4 °C
2023-07-09 03:00:00,7.6 °C
2023-07-09 03:00:00,9.6 °C
2023-07-09 03:00:00,502 °C
2023-07-09 03:00:00,6.0 °C
2023-07-09 03:00:00,6.6 °C
2023-07-09 03:00:00,7.1 °C
2023-07-09 03:00:00,8.6 °C
2023-07-09 03:00:00,9.0 °C
2023-07-09 03:00:00,6.1 °C
2023-07-09 03:00:00,7.5 °C
2023-07-09 03:00:00,5.4 °C
2023-07-09 03:00:00,5.9 °C
2023-07-09 03:00:00,6.5 °C
2023-07-09 03:00:00,13 °C
2023-07-09 03:00:00,13 °C
2023-07-09 03:00:00,14 °C
2023-07-09 03:00:00,505 °C
2023-07-09 03:00:00,505 °C
2023-07-09 03:00:00,506 °C
2023-07-09 03:00:00,506 °C
2023-07-09 03:00:00,503 °C
2023-07-09 03:00:00,503 °C
2023-07-09 03:00:00,504 °C
2023-07-09 03:00:00,504 °C
2023-07-09 03:00:00,8.5 °C
2023-07-09 03:00:00,8.9 °C
2023-07-09 03:00:00,9.2 °C
2023-07-10 03:00:00,8.4 °C
2023-07-10 03:00:00,8.7 °C
2023-07-10 03:00:00,9.0 °C
2023-07-10 03:00:00,9.6 °C
2023-07-10 03:00:00,10 °C
2023-07-10 03:00:00,0.75 °C
2023-07-10 03:00:00,5.5 °C
2023-07-10 03:00:00,5.7 °C
2023-07-10 03:00:00,6.5 °C
2023-07-10 03:00:00,6.9 °C
2023-07-10 03:00:00,7.7 °C
2023-07-10 03:00:00,8.6 °C
2023-07-10 03:00:00,8.0 °C
2023-07-10 03:00:00,504 °C
2023-07-10 03:00:00,505 °C
2023-07-10 03:00:00,505 °C
2023-07-10 03:00:00,8.9 °C
2023-07-11 03:00:00,6.4 °C
2023-07-11 03:00:00,6.9 °C
2023-07-11 03:00:00,7.5 °C
2023-07-11 03:00:00,14 °C
2023-07-11 03:00:00,14 °C
2023-07-11 03:00:00,6.7 °C
2023-07-11 03:00:00,7.9 °C
2023-07-11 03:00:00,4.1 °C
2023-07-11 03:00:00,5.1 °C
2023-07-11 03:00:00,6.1 °C
2023-07-11 03:00:00,7.4 °C
2023-07-11 03:00:00,5.4 °C
2023-07-11 03:00:00,6.0 °C
2023-07-11 03:00:00,2.7 °C
2023-07-11 03:00:00,1.1 °C
2023-07-11 03:00:00,503 °C
2023-07-11 03:00:00,502 °C
2023-07-11 03:00:00,502 °C
2023-07-11 03:00:00,503 °C
2023-07-11 03:00:00,15 °C
2023-07-11 03:00:00,7.2 °C
2023-07-11 03:00:00,7.7 °C
2023-07-11 03:00:00,8.4 °C
2023-07-11 03:00:00,507 °C
2023-07-11 03:00:00,508 °C
2023-07-11 03:00:00,506 °C
2023-07-11 03:00:00,506 °C
2023-07-12 03:00:00,7.7 °C
2023-07-12 03:00:00,8.4 °C
2023-07-12 03:00:00,8.7 °C
2023-07-12 03:00:00,9.1 °C
2023-07-12 03:00:00,8.0 °C
2023-07-12 03:00:00,4.2 °C
2023-07-12 03:00:00,4.9 °C
2023-07-12 03:00:00,5.5 °C
2023-07-12 03:00:00,6.6 °C
2023-07-12 03:00:00,7.4 °C
2023-07-12 03:00:00,13 °C
2023-07-12 03:00:00,13 °C
2023-07-12 03:00:00,14 °C
2023-07-12 03:00:00,14 °C
2023-07-12 03:00:00,14 °C
2023-07-12 03:00:00,508 °C
2023-07-12 03:00:00,507 °C
2023-07-12 03:00:00,506 °C
2023-07-12 03:00:00,506 °C
2023-07-12 03:00:00,507 °C
2023-07-13 03:00:00,7.5 °C
2023-07-13 03:00:00,8.0 °C
2023-07-13 03:00:00,8.7 °C
2023-07-13 03:00:00,9.4 °C
2023-07-13 03:00:00,9.9 °C
2023-07-13 03:00:00,14 °C
2023-07-13 03:00:00,7.2 °C
2023-07-13 03:00:00,7.7 °C
2023-07-13 03:00:00,8.2 °C
2023-07-13 03:00:00,3.9 °C
2023-07-13 03:00:00,5.5 °C
2023-07-13 03:00:00,5.4 °C
2023-07-13 03:00:00,5.9 °C
2023-07-13 03:00:00,6.4 °C
2023-07-13 03:00:00,6.6 °C
2023-07-13 03:00:00,505 °C
2023-07-13 03:00:00,505 °C
2023-07-13 03:00:00,506 °C
2023-07-13 03:00:00,507 °C
2023-07-13 03:00:00,507 °C
2023-07-13 03:00:00,505 °C
2023-07-13 03:00:00,506 °C
2023-07-13 03:00:00,10 °C
2023-07-13 03:00:00,504 °C
2023-07-13 03:00:00,504 °C
2023-07-14 03:00:00,13 °C
2023-07-14 03:00:00,5.9 °C
2023-07-14 03:00:00,6.4 °C
2023-07-14 03:00:00,7.0 °C
2023-07-14 03:00:00,7.4 °C
2023-07-14 03:00:00,505 °C
2023-07-14 03:00:00,7.1 °C
2023-07-14 03:00:00,7.2 °C
2023-07-14 03:00:00,2.2 °C
2023-07-14 03:00:00,0 °C
2023-07-14 03:00:00,1.1 °C
2023-07-14 03:00:00,0.50 °C
2023-07-14 03:00:00,505 °C
2023-07-14 03:00:00,508 °C
2023-07-14 03:00:00,504 °C
2023-07-15 03:00:00,7.4 °C
2023-07-15 03:00:00,8.0 °C
2023-07-15 03:00:00,9.1 °C
2023-07-15 03:00:00,9.5 °C
2023-07-15 03:00:00,10.0 °C
2023-07-15 03:00:00,13 °C
2023-07-15 03:00:00,13 °C
2023-07-15 03:00:00,503 °C
2023-07-15 03:00:00,506 °C
2023-07-15 03:00:00,6.4 °C
2023-07-15 03:00:00,7.0 °C
2023-07-15 03:00:00,5.2 °C
2023-07-15 03:00:00,6.2 °C
2023-07-15 03:00:00,7.9 °C
2023-07-15 03:00:00,2.5 °C
2023-07-15 03:00:00,1.9 °C
2023-07-15 03:00:00,503 °C
2023-07-15 03:00:00,503 °C
2023-07-15 03:00:00,1.6 °C
2023-07-15 03:00:00,506 °C
2023-07-15 03:00:00,9.4 °C
2023-07-15 03:00:00,506 °C
2023-07-16 03:00:00,6.4 °C
2023-07-16 03:00:00,8.0 °C
