"Time","57175.distinct"
2023-07-20 03:00:00,38.02 °C
2023-07-20 03:00:00,37.84 °C
2023-07-20 03:00:00,37.66 °C
2023-07-20 03:00:00,38.37 °C
2023-07-20 03:00:00,38.22 °C
2023-07-20 03:00:00,38.05 °C
2023-07-20 03:00:00,37.87 °C
2023-07-20 03:00:00,37.69 °C
2023-07-20 03:00:00,37.30 °C
2023-07-20 03:00:00,38.67 °C
2023-07-20 03:00:00,38.34 °C
2023-07-20 03:00:00,38.18 °C
2023-07-20 03:00:00,37.45 °C
2023-07-20 03:00:00,37.24 °C
2023-07-20 03:00:00,35.02 °C
2023-07-20 03:00:00,33.62 °C
2023-07-20 03:00:00,33.25 °C
2023-07-20 03:00:00,33.07 °C
2023-07-20 03:00:00,37.72 °C
2023-07-20 03:00:00,36.06 °C
2023-07-20 03:00:00,37.27 °C
2023-07-20 03:00:00,527.10 °C
2023-07-20 03:00:00,527.09 °C
2023-07-20 03:00:00,36.80 °C
2023-07-20 03:00:00,35.97 °C
2023-07-20 03:00:00,35.77 °C
2023-07-20 03:00:00,35.33 °C
2023-07-20 03:00:00,37.48 °C
2023-07-20 03:00:00,37.04 °C
2023-07-20 03:00:00,33.41 °C
2023-07-20 03:00:00,38.43 °C
2023-07-20 03:00:00,38.27 °C
2023-07-20 03:00:00,37.97 °C
2023-07-20 03:00:00,38.03 °C
2023-07-20 03:00:00,37.08 °C
2023-07-20 03:00:00,34.56 °C
2023-07-20 03:00:00,39.63 °C
2023-07-20 03:00:00,39.90 °C
2023-07-20 03:00:00,36.96 °C
2023-07-20 03:00:00,36.58 °C
2023-07-20 03:00:00,36.61 °C
2023-07-20 03:00:00,36.35 °C
2023-07-20 03:00:00,36.13 °C
2023-07-20 03:00:00,35.91 °C
2023-07-20 03:00:00,527.06 °C
2023-07-20 03:00:00,37.15 °C
2023-07-20 03:00:00,38.24 °C
2023-07-20 03:00:00,37.13 °C
2023-07-20 03:00:00,37.90 °C
2023-07-20 03:00:00,35.40 °C
2023-07-20 03:00:00,36.83 °C
2023-07-20 03:00:00,36.65 °C
2023-07-20 03:00:00,36.44 °C
2023-07-20 03:00:00,526.95 °C
2023-07-20 03:00:00,526.86 °C
2023-07-20 03:00:00,526.77 °C
2023-07-20 03:00:00,526.88 °C
2023-07-20 03:00:00,36.19 °C
2023-07-20 03:00:00,32.95 °C
2023-07-20 03:00:00,37.01 °C
2023-07-20 03:00:00,37.41 °C
2023-07-20 03:00:00,38.48 °C
2023-07-20 03:00:00,38.13 °C
2023-07-20 03:00:00,37.99 °C
2023-07-20 03:00:00,37.39 °C
2023-07-20 03:00:00,34.24 °C
2023-07-20 03:00:00,34.59 °C
2023-07-20 03:00:00,33.66 °C
2023-07-20 03:00:00,35.18 °C
2023-07-20 03:00:00,38.19 °C
2023-07-20 03:00:00,37.85 °C
2023-07-20 03:00:00,527.03 °C
2023-07-20 03:00:00,526.97 °C
2023-07-20 03:00:00,36.63 °C
2023-07-20 03:00:00,35.58 °C
2023-07-20 03:00:00,35.37 °C
2023-07-20 03:00:00,37.07 °C
2023-07-20 03:00:00,36.84 °C
2023-07-20 03:00:00,36.40 °C
2023-07-20 03:00:00,36.03 °C
