Time,57175.distinct (°C)
2023-11-09 03:00:00,33.56
2023-11-09 03:00:00,37.15
2023-11-09 03:00:00,29.06
2023-11-09 03:00:00,30.0
2023-11-09 03:00:00,30.29
2023-11-09 03:00:00,37.21
2023-11-09 03:00:00,27.74
2023-11-09 03:00:00,27.68
2023-11-09 03:00:00,27.72
2023-11-09 03:00:00,37.17
2023-11-09 03:00:00,37.05
2023-11-09 03:00:00,36.81
2023-11-09 03:00:00,36.98
2023-11-09 03:00:00,36.86
2023-11-09 03:00:00,36.63
2023-11-09 03:00:00,33.37
2023-11-09 03:00:00,34.04
2023-11-09 03:00:00,34.38
2023-11-09 03:00:00,31.66
2023-11-09 03:00:00,36.65
2023-11-09 03:00:00,36.46
2023-11-09 03:00:00,36.31
2023-11-09 03:00:00,37.23
2023-11-09 03:00:00,36.74
2023-11-09 03:00:00,36.41
2023-11-09 03:00:00,35.58
2023-11-09 03:00:00,29.24
2023-11-09 03:00:00,29.55
2023-11-09 03:00:00,30.16
2023-11-09 03:00:00,37.1
2023-11-09 03:00:00,37.14
2023-11-09 03:00:00,37.13
2023-11-09 03:00:00,37.02
2023-11-09 03:00:00,33.41
2023-11-09 03:00:00,32.03
2023-11-09 03:00:00,34.1
2023-11-09 03:00:00,35.08
2023-11-09 03:00:00,36.62
2023-11-09 03:00:00,36.29
2023-11-09 03:00:00,36.68
2023-11-09 03:00:00,36.5
2023-11-09 03:00:00,36.35
2023-11-09 03:00:00,30.55
2023-11-09 03:00:00,30.87
2023-11-09 03:00:00,31.23
2023-11-09 03:00:00,31.6
2023-11-09 03:00:00,29.64
2023-11-09 03:00:00,36.99
2023-11-09 03:00:00,30.71
2023-11-09 03:00:00,27.65
2023-11-09 03:00:00,27.7
2023-11-09 03:00:00,27.64
2023-11-09 03:00:00,34.26
2023-11-09 03:00:00,36.66
2023-11-09 03:00:00,36.37
2023-11-09 03:00:00,36.23
2023-11-09 03:00:00,34.29
2023-11-09 03:00:00,33.87
2023-11-09 03:00:00,36.9
2023-11-16 03:00:00,36.8
2023-11-16 03:00:00,36.65
2023-11-16 03:00:00,36.37
2023-11-16 03:00:00,37.47
2023-11-16 03:00:00,28.57
2023-11-16 03:00:00,29.39
2023-11-16 03:00:00,29.7
2023-11-16 03:00:00,30.04
2023-11-16 03:00:00,36.96
2023-11-16 03:00:00,37.02
2023-11-16 03:00:00,27.65
2023-11-16 03:00:00,27.55
2023-11-16 03:00:00,27.49
2023-11-16 03:00:00,37.15
2023-11-16 03:00:00,36.89
2023-11-16 03:00:00,36.75
2023-11-16 03:00:00,36.63
2023-11-16 03:00:00,31.66
2023-11-16 03:00:00,36.56
2023-11-16 03:00:00,36.43
2023-11-16 03:00:00,35.83
2023-11-16 03:00:00,33.87
2023-11-16 03:00:00,33.64
2023-11-16 03:00:00,36.52
