"Time","tlm_mb_solarpanel_1_current()"
2023-11-29 03:00:00,146 
2023-11-29 03:00:00,14 
2023-11-29 03:00:00,3.2 
2023-11-29 03:00:00,2.2 
2023-11-29 03:00:00,231 
2023-11-29 03:00:00,2.7 
2023-11-29 03:00:00,2.9 
2023-11-29 03:00:00,11 
2023-11-29 03:00:00,115 
2023-11-29 03:00:00,119 
2023-11-29 03:00:00,7.6 
2023-11-30 03:00:00,5.6 
2023-11-30 03:00:00,2.7 
2023-11-30 03:00:00,20 
2023-11-30 03:00:00,2.4 
2023-11-30 03:00:00,162 
2023-11-30 03:00:00,560 
2023-11-30 03:00:00,28 
2023-11-30 03:00:00,7.6 
2023-11-30 03:00:00,186 
2023-12-01 03:00:00,83 
2023-12-01 03:00:00,6.3 
2023-12-01 03:00:00,5.6 
2023-12-01 03:00:00,2.4 
2023-12-01 03:00:00,2.7 
2023-12-01 03:00:00,14 
2023-12-01 03:00:00,2.2 
2023-12-02 03:00:00,5.9 
2023-12-02 03:00:00,281 
2023-12-02 03:00:00,45 
2023-12-02 03:00:00,11 
2023-12-02 03:00:00,83 
2023-12-02 03:00:00,24 
2023-12-02 03:00:00,2.4 
2023-12-02 03:00:00,2.7 
2023-12-02 03:00:00,25 
2023-12-02 03:00:00,2.2 
2023-12-02 03:00:00,40 
2023-12-02 03:00:00,116 
2023-12-02 03:00:00,23 
2023-12-02 03:00:00,8.3 
2023-12-02 03:00:00,2.9 
2023-12-02 03:00:00,250 
2023-12-03 03:00:00,55 
2023-12-03 03:00:00,2.7 
2023-12-03 03:00:00,2.9 
2023-12-03 03:00:00,5.6 
2023-12-03 03:00:00,2.2 
2023-12-03 03:00:00,2.4 
2023-12-03 03:00:00,59 
2023-12-03 03:00:00,98 
2023-12-03 03:00:00,12 
2023-12-03 03:00:00,12 
2023-12-04 03:00:00,8.5 
2023-12-04 03:00:00,10 
2023-12-04 03:00:00,40 
2023-12-04 03:00:00,61 
2023-12-04 03:00:00,2.7 
2023-12-04 03:00:00,61 
2023-12-04 03:00:00,57 
2023-12-04 03:00:00,115 
2023-12-04 03:00:00,27 
2023-12-05 03:00:00,120 
2023-12-05 03:00:00,7.8 
2023-12-05 03:00:00,7.6 
2023-12-05 03:00:00,2.7 
2023-12-05 03:00:00,2.9 
2023-12-05 03:00:00,15 
2023-12-05 03:00:00,6.1 
2023-12-05 03:00:00,2.4 
2023-12-05 03:00:00,71 
2023-12-05 03:00:00,2.2 
2023-12-05 03:00:00,325 
2023-12-05 03:00:00,117 
2023-12-05 03:00:00,13 
2023-12-06 03:00:00,202 
2023-12-06 03:00:00,12 
2023-12-06 03:00:00,16 
2023-12-06 03:00:00,45 
2023-12-06 03:00:00,9.8 
2023-12-06 03:00:00,79 
2023-12-06 03:00:00,22 
2023-12-06 03:00:00,55 
2023-12-06 03:00:00,5.1 
2023-12-06 03:00:00,161 
2023-12-06 03:00:00,339 
2023-12-06 03:00:00,2.7 
2023-12-06 03:00:00,290 
2023-12-06 03:00:00,156 
2023-12-06 03:00:00,2.4 
2023-12-06 03:00:00,32 
2023-12-06 03:00:00,182 
2023-12-06 03:00:00,58 
2023-12-06 03:00:00,544 
2023-12-06 03:00:00,68 
2023-12-06 03:00:00,43 
2023-12-06 03:00:00,2.2 
2023-12-06 03:00:00,14 
2023-12-06 03:00:00,31 
2023-12-06 03:00:00,29 
2023-12-06 03:00:00,25 
2023-12-06 03:00:00,43 
2023-12-06 03:00:00,400 
2023-12-06 03:00:00,60 
2023-12-06 03:00:00,2.9 
2023-12-06 03:00:00,14 
2023-12-06 03:00:00,5.9 
2023-12-06 03:00:00,32 
2023-12-07 03:00:00,25 
2023-12-07 03:00:00,154 
2023-12-07 03:00:00,44 
2023-12-07 03:00:00,262 
2023-12-07 03:00:00,77 
2023-12-07 03:00:00,2.7 
2023-12-07 03:00:00,5.6 
2023-12-07 03:00:00,495 
2023-12-07 03:00:00,271 
2023-12-07 03:00:00,531 
2023-12-07 03:00:00,11 
2023-12-07 03:00:00,5.9 
2023-12-07 03:00:00,520 
2023-12-07 03:00:00,2.4 
2023-12-07 03:00:00,648 
2023-12-07 03:00:00,9.0 
2023-12-07 03:00:00,256 
2023-12-07 03:00:00,11 
2023-12-07 03:00:00,2.9 
2023-12-07 03:00:00,195 
2023-12-07 03:00:00,31 
2023-12-07 03:00:00,542 
2023-12-07 03:00:00,23 
2023-12-07 03:00:00,25 
2023-12-08 03:00:00,2.7 
2023-12-08 03:00:00,2.4 
2023-12-08 03:00:00,488 
2023-12-08 03:00:00,635 
2023-12-08 03:00:00,28 
2023-12-08 03:00:00,6.3 
2023-12-08 03:00:00,689 
2023-12-08 03:00:00,542 
2023-12-08 03:00:00,246 
2023-12-08 03:00:00,2.2 
2023-12-08 03:00:00,208 
2023-12-08 03:00:00,172 
2023-12-08 03:00:00,2.9 
2023-12-08 03:00:00,209 
2023-12-08 03:00:00,7.8 
2023-12-08 03:00:00,405 
2023-12-08 03:00:00,14 
2023-12-08 03:00:00,179 
2023-12-08 03:00:00,12 
2023-12-09 03:00:00,29 
2023-12-09 03:00:00,238 
2023-12-09 03:00:00,164 
2023-12-09 03:00:00,2.7 
2023-12-09 03:00:00,24 
2023-12-09 03:00:00,14 
2023-12-09 03:00:00,485 
2023-12-09 03:00:00,2.4 
2023-12-09 03:00:00,28 
2023-12-09 03:00:00,68 
2023-12-09 03:00:00,41 
2023-12-09 03:00:00,21 
2023-12-09 03:00:00,94 
2023-12-09 03:00:00,86 
2023-12-09 03:00:00,88 
2023-12-09 03:00:00,199 
2023-12-09 03:00:00,129 
2023-12-09 03:00:00,33 
2023-12-09 03:00:00,2.9 
2023-12-09 03:00:00,378 
2023-12-09 03:00:00,13 
2023-12-09 03:00:00,21 
2023-12-09 03:00:00,5.6 
2023-12-09 03:00:00,63 
2023-12-10 03:00:00,6.6 
2023-12-10 03:00:00,12 
2023-12-10 03:00:00,212 
2023-12-10 03:00:00,215 
2023-12-10 03:00:00,159 
2023-12-10 03:00:00,5.9 
2023-12-10 03:00:00,2.7 
2023-12-10 03:00:00,13 
2023-12-10 03:00:00,17 
2023-12-10 03:00:00,2.2 
2023-12-10 03:00:00,2.4 
2023-12-10 03:00:00,528 
2023-12-10 03:00:00,81 
2023-12-10 03:00:00,235 
2023-12-10 03:00:00,31 
2023-12-10 03:00:00,4.4 
2023-12-10 03:00:00,305 
2023-12-10 03:00:00,386 
2023-12-10 03:00:00,11 
2023-12-10 03:00:00,433 
2023-12-10 03:00:00,32 
2023-12-10 03:00:00,48 
2023-12-10 03:00:00,135 
2023-12-10 03:00:00,5.1 
2023-12-10 03:00:00,5.6 
2023-12-11 03:00:00,12 
2023-12-11 03:00:00,342 
2023-12-11 03:00:00,511 
2023-12-11 03:00:00,506 
2023-12-11 03:00:00,2.7 
2023-12-11 03:00:00,2.4 
2023-12-11 03:00:00,2.2 
2023-12-11 03:00:00,131 
2023-12-11 03:00:00,21 
2023-12-11 03:00:00,24 
2023-12-11 03:00:00,38 
2023-12-11 03:00:00,176 
2023-12-11 03:00:00,519 
2023-12-11 03:00:00,309 
2023-12-11 03:00:00,32 
2023-12-11 03:00:00,68 
2023-12-11 03:00:00,2.9 
2023-12-11 03:00:00,5.9 
2023-12-11 03:00:00,110 
2023-12-11 03:00:00,40 
2023-12-11 03:00:00,54 
2023-12-11 03:00:00,5.4 
2023-12-11 03:00:00,244 
2023-12-11 03:00:00,163 
2023-12-12 03:00:00,2.4 
2023-12-12 03:00:00,73 
2023-12-12 03:00:00,66 
2023-12-12 03:00:00,90 
2023-12-12 03:00:00,8.1 
2023-12-12 03:00:00,88 
2023-12-12 03:00:00,24 
2023-12-12 03:00:00,3.9 
2023-12-12 03:00:00,441 
2023-12-12 03:00:00,127 
2023-12-12 03:00:00,196 
2023-12-12 03:00:00,6.8 
2023-12-12 03:00:00,18 
2023-12-12 03:00:00,2.7 
2023-12-12 03:00:00,5.9 
2023-12-12 03:00:00,180 
2023-12-12 03:00:00,391 
2023-12-12 03:00:00,11 
2023-12-12 03:00:00,40 
2023-12-12 03:00:00,17 
2023-12-12 03:00:00,508 
2023-12-13 03:00:00,2.4 
2023-12-13 03:00:00,2.7 
2023-12-13 03:00:00,52 
2023-12-13 03:00:00,5.6 
2023-12-13 03:00:00,2.2 
2023-12-13 03:00:00,320 
2023-12-13 03:00:00,6.1 
2023-12-13 03:00:00,2.9 
2023-12-13 03:00:00,34 
2023-12-13 03:00:00,13 
2023-12-13 03:00:00,11 
2023-12-14 03:00:00,2.4 
2023-12-14 03:00:00,2.7 
2023-12-14 03:00:00,2.2 
2023-12-14 03:00:00,552 
2023-12-14 03:00:00,187 
2023-12-14 03:00:00,4.9 
2023-12-14 03:00:00,3.7 
2023-12-14 03:00:00,115 
2023-12-14 03:00:00,80 
2023-12-14 03:00:00,71 
2023-12-14 03:00:00,524 
2023-12-14 03:00:00,373 
2023-12-14 03:00:00,13 
2023-12-14 03:00:00,17 
2023-12-14 03:00:00,2.9 
2023-12-14 03:00:00,28 
2023-12-14 03:00:00,6.6 
2023-12-14 03:00:00,31 
2023-12-14 03:00:00,22 
2023-12-14 03:00:00,18 
2023-12-14 03:00:00,40 
2023-12-14 03:00:00,25 
2023-12-14 03:00:00,195 
2023-12-14 03:00:00,41 
2023-12-14 03:00:00,180 
2023-12-15 03:00:00,2.2 
2023-12-15 03:00:00,2.4 
2023-12-15 03:00:00,73 
2023-12-15 03:00:00,10 
2023-12-15 03:00:00,320 
2023-12-15 03:00:00,17 
2023-12-15 03:00:00,20 
2023-12-15 03:00:00,386 
2023-12-15 03:00:00,471 
2023-12-15 03:00:00,486 
2023-12-15 03:00:00,155 
2023-12-15 03:00:00,34 
2023-12-15 03:00:00,15 
2023-12-15 03:00:00,140 
2023-12-15 03:00:00,14 
2023-12-15 03:00:00,12 
2023-12-15 03:00:00,5.6 
2023-12-15 03:00:00,2.7 
2023-12-15 03:00:00,2.9 
2023-12-15 03:00:00,157 
2023-12-15 03:00:00,10 
2023-12-15 03:00:00,29 
2023-12-16 03:00:00,2.7 
2023-12-16 03:00:00,23 
2023-12-16 03:00:00,13 
2023-12-16 03:00:00,12 
2023-12-16 03:00:00,4.2 
2023-12-16 03:00:00,2.4 
2023-12-16 03:00:00,33 
2023-12-16 03:00:00,35 
