"Time","57175.distinct"
2023-06-29 03:00:00,8.44 °C
2023-06-29 03:00:00,8.94 °C
2023-06-29 03:00:00,10.50 °C
2023-06-29 03:00:00,11.19 °C
2023-06-29 03:00:00,13.88 °C
2023-06-29 03:00:00,13.63 °C
2023-06-29 03:00:00,15.00 °C
2023-06-29 03:00:00,5.69 °C
2023-06-29 03:00:00,7.19 °C
2023-06-29 03:00:00,10.31 °C
2023-06-29 03:00:00,17.50 °C
2023-06-29 03:00:00,17.94 °C
2023-06-29 03:00:00,18.75 °C
2023-06-29 03:00:00,18.94 °C
2023-06-29 03:00:00,19.13 °C
2023-06-29 03:00:00,19.38 °C
2023-06-29 03:00:00,19.50 °C
2023-06-29 03:00:00,19.63 °C
2023-06-29 03:00:00,19.81 °C
2023-06-29 03:00:00,20.13 °C
2023-06-29 03:00:00,12.25 °C
2023-06-29 03:00:00,255.56 °C
2023-06-29 03:00:00,0.50 °C
2023-06-29 03:00:00,254.75 °C
2023-06-29 03:00:00,255.31 °C
2023-06-29 03:00:00,252.13 °C
2023-06-29 03:00:00,252.94 °C
2023-06-29 03:00:00,254.25 °C
2023-06-29 03:00:00,252.38 °C
2023-06-29 03:00:00,253.38 °C
2023-06-29 03:00:00,254.06 °C
2023-06-29 03:00:00,255.13 °C
2023-06-29 03:00:00,255.94 °C
2023-06-29 03:00:00,247.88 °C
2023-06-29 03:00:00,249.88 °C
2023-06-29 03:00:00,8.38 °C
2023-06-29 03:00:00,9.88 °C
2023-06-29 03:00:00,10.69 °C
2023-06-29 03:00:00,11.44 °C
2023-06-29 03:00:00,12.00 °C
2023-06-29 03:00:00,15.44 °C
2023-06-29 03:00:00,5.94 °C
2023-06-29 03:00:00,9.94 °C
2023-06-29 03:00:00,11.31 °C
2023-06-29 03:00:00,12.38 °C
2023-06-29 03:00:00,14.44 °C
2023-06-29 03:00:00,15.50 °C
2023-06-29 03:00:00,15.75 °C
2023-06-29 03:00:00,16.94 °C
2023-06-29 03:00:00,16.06 °C
2023-06-29 03:00:00,7.75 °C
2023-06-29 03:00:00,19.25 °C
2023-06-29 03:00:00,19.56 °C
2023-06-29 03:00:00,18.69 °C
