"Time","tlm_mb_solarpanel_0_volt_pos"
2023-07-09 03:00:00,5.2 V
2023-07-09 03:00:00,5.3 V
2023-07-09 03:00:00,0.0028 V
2023-07-09 03:00:00,5.4 V
2023-07-09 03:00:00,5.2 V
2023-07-09 03:00:00,5.3 V
2023-07-09 03:00:00,5.4 V
2023-07-09 03:00:00,4.7 V
2023-07-09 03:00:00,4.9 V
2023-07-09 03:00:00,5.4 V
2023-07-09 03:00:00,5.4 V
2023-07-09 03:00:00,5.5 V
2023-07-09 03:00:00,5.4 V
2023-07-09 03:00:00,4.9 V
2023-07-09 03:00:00,5.4 V
2023-07-09 03:00:00,5.3 V
2023-07-09 03:00:00,4.6 V
2023-07-09 03:00:00,2.3 V
2023-07-09 03:00:00,5.5 V
2023-07-09 03:00:00,5.6 V
2023-07-09 03:00:00,5.6 V
2023-07-09 03:00:00,0.85 V
2023-07-09 03:00:00,5.6 V
2023-07-09 03:00:00,2.1 V
2023-07-09 03:00:00,5.0 V
2023-07-09 03:00:00,5.2 V
2023-07-10 03:00:00,5.2 V
2023-07-10 03:00:00,5.5 V
2023-07-10 03:00:00,5.5 V
2023-07-10 03:00:00,4.7 V
2023-07-10 03:00:00,5.5 V
2023-07-10 03:00:00,0 V
2023-07-10 03:00:00,5.4 V
2023-07-10 03:00:00,5.3 V
2023-07-10 03:00:00,5.2 V
2023-07-10 03:00:00,5.2 V
2023-07-10 03:00:00,5.3 V
2023-07-10 03:00:00,5.4 V
2023-07-10 03:00:00,5.5 V
2023-07-10 03:00:00,5.3 V
2023-07-10 03:00:00,5.5 V
2023-07-10 03:00:00,4.9 V
2023-07-10 03:00:00,0.0028 V
2023-07-10 03:00:00,5.7 V
2023-07-10 03:00:00,0.015 V
2023-07-10 03:00:00,5.1 V
2023-07-11 03:00:00,4.8 V
2023-07-11 03:00:00,5.5 V
2023-07-11 03:00:00,5.2 V
2023-07-11 03:00:00,4.8 V
2023-07-11 03:00:00,5.4 V
2023-07-11 03:00:00,5.2 V
2023-07-11 03:00:00,5.3 V
2023-07-11 03:00:00,5.2 V
2023-07-11 03:00:00,5.5 V
2023-07-11 03:00:00,5.5 V
2023-07-11 03:00:00,4.9 V
2023-07-11 03:00:00,5.1 V
2023-07-11 03:00:00,5.5 V
2023-07-11 03:00:00,5.4 V
2023-07-11 03:00:00,5.5 V
2023-07-11 03:00:00,0 V
2023-07-11 03:00:00,0.11 V
2023-07-11 03:00:00,5.7 V
2023-07-11 03:00:00,1.1 V
2023-07-11 03:00:00,5.7 V
2023-07-11 03:00:00,5.4 V
2023-07-11 03:00:00,3.9 V
2023-07-11 03:00:00,5.4 V
2023-07-11 03:00:00,5.1 V
2023-07-11 03:00:00,4.8 V
2023-07-11 03:00:00,5.7 V
2023-07-11 03:00:00,3.0 V
2023-07-11 03:00:00,4.8 V
2023-07-11 03:00:00,1.1 V
2023-07-12 03:00:00,5.4 V
2023-07-12 03:00:00,5.3 V
2023-07-12 03:00:00,5.1 V
2023-07-12 03:00:00,5.4 V
2023-07-12 03:00:00,5.2 V
2023-07-12 03:00:00,5.2 V
2023-07-12 03:00:00,5.0 V
2023-07-12 03:00:00,5.3 V
2023-07-12 03:00:00,5.2 V
2023-07-12 03:00:00,5.5 V
2023-07-12 03:00:00,5.2 V
2023-07-12 03:00:00,4.8 V
2023-07-12 03:00:00,5.3 V
2023-07-12 03:00:00,5.5 V
2023-07-12 03:00:00,4.9 V
2023-07-12 03:00:00,5.5 V
2023-07-12 03:00:00,0.94 V
2023-07-12 03:00:00,5.6 V
2023-07-12 03:00:00,2.3 V
2023-07-12 03:00:00,5.7 V
2023-07-12 03:00:00,5.5 V
2023-07-13 03:00:00,5.5 V
2023-07-13 03:00:00,5.2 V
2023-07-13 03:00:00,5.5 V
2023-07-13 03:00:00,5.5 V
2023-07-13 03:00:00,5.0 V
2023-07-13 03:00:00,4.3 V
2023-07-13 03:00:00,5.3 V
2023-07-13 03:00:00,4.9 V
2023-07-13 03:00:00,5.3 V
2023-07-13 03:00:00,5.4 V
2023-07-13 03:00:00,5.5 V
2023-07-13 03:00:00,5.5 V
2023-07-13 03:00:00,5.5 V
2023-07-13 03:00:00,5.2 V
2023-07-13 03:00:00,5.3 V
2023-07-13 03:00:00,5.6 V
2023-07-13 03:00:00,5.7 V
2023-07-13 03:00:00,1.9 V
2023-07-13 03:00:00,0.0070 V
2023-07-13 03:00:00,2.0 V
2023-07-13 03:00:00,1.3 V
2023-07-13 03:00:00,0.050 V
2023-07-13 03:00:00,5.0 V
2023-07-13 03:00:00,0.018 V
2023-07-13 03:00:00,0.0056 V
2023-07-14 03:00:00,5.5 V
2023-07-14 03:00:00,5.6 V
2023-07-14 03:00:00,5.5 V
2023-07-14 03:00:00,4.8 V
2023-07-14 03:00:00,5.5 V
2023-07-14 03:00:00,0.0014 V
2023-07-14 03:00:00,5.1 V
2023-07-14 03:00:00,5.3 V
2023-07-14 03:00:00,5.4 V
2023-07-14 03:00:00,0 V
2023-07-14 03:00:00,1.1 V
2023-07-14 03:00:00,3.0 V
2023-07-14 03:00:00,5.7 V
2023-07-15 03:00:00,5.4 V
2023-07-15 03:00:00,5.1 V
2023-07-15 03:00:00,2.2 V
2023-07-15 03:00:00,5.4 V
2023-07-15 03:00:00,5.1 V
2023-07-15 03:00:00,4.7 V
2023-07-15 03:00:00,4.8 V
2023-07-15 03:00:00,5.6 V
2023-07-15 03:00:00,0 V
2023-07-15 03:00:00,5.1 V
2023-07-15 03:00:00,5.0 V
2023-07-15 03:00:00,5.5 V
2023-07-15 03:00:00,5.2 V
2023-07-15 03:00:00,5.3 V
2023-07-15 03:00:00,0.0028 V
2023-07-15 03:00:00,5.5 V
2023-07-15 03:00:00,5.2 V
2023-07-15 03:00:00,5.5 V
2023-07-15 03:00:00,1.9 V
2023-07-15 03:00:00,5.5 V
2023-07-15 03:00:00,2.4 V
2023-07-16 03:00:00,5.1 V
2023-07-16 03:00:00,5.4 V
2023-07-16 03:00:00,5.2 V
2023-07-16 03:00:00,5.0 V
2023-07-16 03:00:00,5.0 V
2023-07-16 03:00:00,5.2 V
2023-07-16 03:00:00,5.4 V
2023-07-16 03:00:00,4.9 V
2023-07-16 03:00:00,5.0 V
2023-07-16 03:00:00,5.1 V
2023-07-16 03:00:00,5.3 V
2023-07-16 03:00:00,5.0 V
2023-07-16 03:00:00,4.8 V
2023-07-16 03:00:00,0 V
2023-07-16 03:00:00,5.3 V
2023-07-16 03:00:00,5.4 V
2023-07-16 03:00:00,5.0 V
2023-07-16 03:00:00,4.3 V
2023-07-16 03:00:00,4.8 V
2023-07-16 03:00:00,3.5 V
2023-07-16 03:00:00,5.7 V
2023-07-16 03:00:00,5.3 V
2023-07-16 03:00:00,4.7 V
2023-07-16 03:00:00,2.6 V
2023-07-16 03:00:00,4.8 V
2023-07-16 03:00:00,5.4 V
2023-07-16 03:00:00,5.4 V
2023-07-16 03:00:00,4.6 V
2023-07-17 03:00:00,5.4 V
2023-07-17 03:00:00,4.6 V
2023-07-17 03:00:00,5.7 V
2023-07-17 03:00:00,2.0 V
2023-07-17 03:00:00,5.7 V
2023-07-17 03:00:00,0 V
2023-07-17 03:00:00,5.5 V
2023-07-17 03:00:00,5.1 V
2023-07-17 03:00:00,5.4 V
2023-07-17 03:00:00,5.3 V
2023-07-17 03:00:00,5.0 V
2023-07-17 03:00:00,5.3 V
2023-07-17 03:00:00,5.5 V
2023-07-17 03:00:00,5.4 V
2023-07-17 03:00:00,5.6 V
2023-07-17 03:00:00,5.4 V
2023-07-17 03:00:00,5.2 V
2023-07-17 03:00:00,5.1 V
2023-07-17 03:00:00,5.2 V
2023-07-17 03:00:00,4.8 V
2023-07-17 03:00:00,5.5 V
2023-07-17 03:00:00,5.2 V
2023-07-17 03:00:00,5.3 V
2023-07-17 03:00:00,5.5 V
2023-07-17 03:00:00,5.1 V
2023-07-17 03:00:00,2.2 V
2023-07-17 03:00:00,5.6 V
2023-07-17 03:00:00,5.5 V
2023-07-17 03:00:00,2.1 V
2023-07-17 03:00:00,0.0042 V
2023-07-17 03:00:00,4.8 V
2023-07-17 03:00:00,2.0 V
2023-07-17 03:00:00,4.8 V
2023-07-17 03:00:00,5.5 V
2023-07-17 03:00:00,5.4 V
2023-07-17 03:00:00,5.0 V
2023-07-17 03:00:00,5.3 V
2023-07-17 03:00:00,4.7 V
2023-07-18 03:00:00,5.5 V
2023-07-18 03:00:00,5.0 V
2023-07-18 03:00:00,4.8 V
2023-07-18 03:00:00,5.0 V
2023-07-18 03:00:00,5.4 V
2023-07-18 03:00:00,5.7 V
2023-07-18 03:00:00,4.8 V
2023-07-18 03:00:00,5.6 V
2023-07-18 03:00:00,5.5 V
2023-07-18 03:00:00,5.5 V
2023-07-18 03:00:00,4.7 V
2023-07-18 03:00:00,5.4 V
2023-07-18 03:00:00,5.2 V
2023-07-18 03:00:00,5.4 V
2023-07-18 03:00:00,5.3 V
2023-07-18 03:00:00,5.0 V
2023-07-18 03:00:00,5.4 V
2023-07-18 03:00:00,4.8 V
2023-07-18 03:00:00,5.2 V
2023-07-18 03:00:00,5.2 V
2023-07-18 03:00:00,5.5 V
2023-07-18 03:00:00,5.2 V
2023-07-18 03:00:00,0 V
2023-07-18 03:00:00,5.5 V
2023-07-18 03:00:00,5.4 V
2023-07-18 03:00:00,2.7 V
2023-07-18 03:00:00,0.0042 V
2023-07-18 03:00:00,3.0 V
2023-07-18 03:00:00,1.9 V
2023-07-18 03:00:00,2.5 V
2023-07-18 03:00:00,5.1 V
2023-07-18 03:00:00,5.1 V
2023-07-18 03:00:00,5.0 V
2023-07-18 03:00:00,4.6 V
2023-07-18 03:00:00,4.8 V
2023-07-18 03:00:00,1.2 V
2023-07-19 03:00:00,5.4 V
2023-07-19 03:00:00,5.2 V
2023-07-19 03:00:00,5.4 V
2023-07-19 03:00:00,4.8 V
2023-07-19 03:00:00,4.9 V
2023-07-19 03:00:00,4.7 V
2023-07-19 03:00:00,0.0014 V
2023-07-19 03:00:00,0.0028 V
2023-07-19 03:00:00,4.7 V
2023-07-19 03:00:00,5.3 V
2023-07-19 03:00:00,5.2 V
2023-07-19 03:00:00,4.8 V
2023-07-19 03:00:00,5.1 V
2023-07-19 03:00:00,5.2 V
2023-07-19 03:00:00,5.1 V
2023-07-19 03:00:00,5.5 V
2023-07-19 03:00:00,5.6 V
2023-07-19 03:00:00,5.1 V
2023-07-19 03:00:00,5.2 V
2023-07-19 03:00:00,5.1 V
2023-07-19 03:00:00,5.0 V
2023-07-19 03:00:00,5.0 V
2023-07-19 03:00:00,5.2 V
