Time,57175.tlm_mb_time
2023-06-27 23:00:45,4446
2023-06-28 00:17:19,10095
2023-06-28 02:18:49,17385
2023-06-28 02:19:49,17445
2023-06-28 02:21:39,17555
2023-06-28 03:27:48,21525
2023-06-28 04:38:47,25785
2023-06-28 04:42:37,26015
2023-06-28 06:38:18,32955
2023-06-28 08:34:59,39955
2023-06-28 10:09:19,45615
2023-06-28 10:10:19,45675
2023-06-28 10:11:19,45735
2023-06-28 10:12:18,45795
2023-06-28 10:12:19,45795
2023-06-28 10:14:03,45905
2023-06-28 10:14:08,45905
2023-06-28 10:14:09,45905
2023-06-28 10:15:08,45965
2023-06-28 10:15:09,45965
2023-06-28 10:16:08,46025
2023-06-28 10:16:09,46025
2023-06-28 10:18:08,46145
2023-06-28 11:43:39,51275
2023-06-28 11:47:28,51505
2023-06-28 11:47:29,51505
2023-06-28 11:48:28,51565
2023-06-28 11:49:28,51625
2023-06-28 11:49:29,51625
2023-06-28 13:03:03,51685
2023-06-28 13:04:03,51745
2023-06-28 13:22:48,57225
2023-06-28 14:33:49,61485
2023-06-28 14:34:49,61545
2023-06-28 14:36:39,61655
2023-06-28 14:37:39,61715
2023-06-28 16:07:10,1550
2023-06-28 16:08:09,1610
2023-06-28 16:12:00,1840
2023-06-28 21:01:39,19220
2023-06-28 21:02:39,19280
2023-06-28 21:02:39,19280
2023-06-28 21:03:39,19340
2023-06-28 21:03:39,19340
2023-06-28 21:04:39,19400
2023-06-28 21:04:39,19400
2023-06-28 21:05:39,19460
2023-06-28 21:05:39,19460
2023-06-28 21:07:29,19570
2023-06-28 21:07:29,19570
2023-06-28 21:08:29,19630
2023-06-28 22:36:59,24940
2023-06-28 22:37:59,25000
2023-06-28 22:38:59,25060
2023-06-28 22:38:59,25060
2023-06-28 22:40:49,25170
2023-06-28 22:40:49,25170
2023-06-28 22:41:49,25230
2023-06-28 22:42:49,25290
2023-06-28 22:43:49,25350
2023-06-29 00:11:19,30600
2023-06-29 00:14:09,30770
2023-06-29 00:15:09,30830
2023-06-29 00:16:09,30890
2023-06-29 03:04:19,40980
2023-06-29 03:50:56,43780
2023-06-29 03:51:56,43840
2023-06-29 03:52:56,43900
2023-06-29 03:53:56,43960
2023-06-29 04:04:39,44600
2023-06-29 11:49:20,6945
2023-06-29 16:06:59,22405
2023-06-29 16:36:32,1430
2023-06-29 16:38:32,1550
2023-06-29 16:39:32,1610
2023-06-29 19:29:10,34535
2023-06-29 19:30:10,34595
2023-06-29 19:32:10,34715
2023-06-29 20:59:35,39965
2023-06-29 21:00:34,40025
2023-06-29 21:00:40,40025
2023-06-29 21:00:40,40025
2023-06-29 21:02:42,40148
2023-06-29 21:02:53,40159
2023-06-29 21:04:53,40279
2023-06-29 21:05:53,40339
2023-06-29 22:41:40,46085
2023-06-30 02:17:28,59035
2023-06-30 02:18:28,59095
2023-06-30 03:48:00,64465
2023-06-30 03:49:00,64525
2023-06-30 03:50:50,64635
2023-06-30 03:51:50,64695
2023-06-30 03:52:50,64755
2023-06-30 03:53:50,64815
2023-06-30 06:32:20,8790
2023-06-30 08:31:50,15960
2023-06-30 10:04:10,21500
