"Time","tlm_mb_solarpanel_1_current(mA)"
2023-07-04 03:00:00,29 mA
2023-07-04 03:00:00,339 mA
2023-07-04 03:00:00,697 mA
2023-07-04 03:00:00,187 mA
2023-07-04 03:00:00,623 mA
2023-07-05 03:00:00,344 mA
2023-07-05 03:00:00,108 mA
2023-07-05 03:00:00,294 mA
2023-07-05 03:00:00,563 mA
2023-07-05 03:00:00,191 mA
2023-07-05 03:00:00,277 mA
2023-07-05 03:00:00,217 mA
2023-07-05 03:00:00,126 mA
2023-07-05 03:00:00,348 mA
2023-07-05 03:00:00,322 mA
2023-07-05 03:00:00,255 mA
2023-07-05 03:00:00,172 mA
2023-07-05 03:00:00,213 mA
2023-07-05 03:00:00,37 mA
2023-07-05 03:00:00,41 mA
2023-07-05 03:00:00,29 mA
2023-07-05 03:00:00,120 mA
2023-07-05 03:00:00,87 mA
2023-07-05 03:00:00,45 mA
2023-07-05 03:00:00,524 mA
2023-07-05 03:00:00,257 mA
2023-07-05 03:00:00,410 mA
2023-07-05 03:00:00,594 mA
2023-07-05 03:00:00,348 mA
2023-07-05 03:00:00,350 mA
2023-07-05 03:00:00,346 mA
2023-07-05 03:00:00,493 mA
2023-07-05 03:00:00,749 mA
2023-07-05 03:00:00,646 mA
2023-07-05 03:00:00,208 mA
2023-07-05 03:00:00,764 mA
2023-07-05 03:00:00,672 mA
2023-07-05 03:00:00,240 mA
2023-07-05 03:00:00,793 mA
2023-07-06 03:00:00,532 mA
2023-07-06 03:00:00,234 mA
2023-07-06 03:00:00,421 mA
2023-07-06 03:00:00,337 mA
2023-07-06 03:00:00,6.3 mA
2023-07-06 03:00:00,95 mA
2023-07-06 03:00:00,764 mA
2023-07-06 03:00:00,20 mA
2023-07-06 03:00:00,7.3 mA
2023-07-06 03:00:00,10 mA
2023-07-06 03:00:00,366 mA
2023-07-06 03:00:00,357 mA
2023-07-06 03:00:00,369 mA
2023-07-06 03:00:00,34 mA
2023-07-06 03:00:00,13 mA
2023-07-06 03:00:00,11 mA
