"Time","-X Panel Temperature","+X Panel Temperature","-Y Panel Temperature","+Y Panel Temperature","-Z Panel Temperature","+Z Panel Temperature"
2019-10-02 03:00:00,8.0,12,4.0,-10,0,-10
2019-10-03 03:00:00,-5,-1,-4,-21,-1,-15
2019-10-04 03:00:00,4.5,4.5,2.1,2.8,14,-14
2019-10-06 03:00:00,-42,-43,-37,-42,-11,-23
2019-10-07 03:00:00,-13,-10,-12,-12,6.0,15
2019-10-08 03:00:00,-11,-9,-11,-18,3.7,-4
2019-10-14 03:00:00,-4,-3,1.8,-3,6.4,1.6
2019-10-15 03:00:00,5.8,8.8,9.2,14,15,-6
2019-10-16 03:00:00,18,13,15,17,22,8.2
2019-10-18 03:00:00,-61,-62,-61,-63,-37,23
2019-10-19 03:00:00,-36,-37,-36,-49,-30,12
2019-10-21 03:00:00,-75,-75,-75,-75,-75,6.1
2019-10-22 03:00:00,-16,-19,-18,-28,0.11,-22
2019-10-23 03:00:00,-55,-55,-55,-55,-25,-2
2019-10-24 03:00:00,-39,-39,-45,-50,-30,-13
2019-10-25 03:00:00,-18,-19,-19,-22,2.7,0
2019-10-26 03:00:00,-23,-24,-23,-31,-3,3.1
2019-10-27 03:00:00,-23,-21,-20,-14,-17,53
2019-10-30 03:00:00,-63,-63,-62,-63,-75,-30
2019-10-31 03:00:00,-64,-66,-64,-65,-75,9
2019-11-01 03:00:00,14,12,-1,8.1,21,0.50
2019-11-02 03:00:00,2.5,-1,7.7,0,13,8.0
2019-11-03 03:00:00,-57,-59,-57,-55,-51,-3
2019-11-04 03:00:00,-15,-17,-13,-19,5.6,25
2019-11-05 03:00:00,5.5,7.0,9.6,9.2,22,4.1
2019-11-09 03:00:00,-2,-2,-9,17,50,-21
2019-11-10 03:00:00,-21,-16,-26,-16,-3,-10
2019-11-12 03:00:00,-17,-20,-6,-28,0.19,-8
2019-11-13 03:00:00,-4,-4,-10,-3,9.2,6.8
2019-11-14 03:00:00,-35,-33,-35,-37,0.36,-8
2019-11-15 03:00:00,-33,-38,-35,-38,-7,-4
2019-11-16 03:00:00,-7,-7,-7,0.60,22,-13
2019-11-17 03:00:00,-26,-23,-25,-19,6.3,-17
2019-11-18 03:00:00,-23,-22,-29,-23,2.5,-8
2019-11-19 03:00:00,-27,-22,-36,-30,-4,-8
2019-11-20 03:00:00,15,11,-1,7.1,16,26
2019-11-21 03:00:00,-43,-40,-39,-40,-7,-19
2019-11-22 03:00:00,-28,-31,-34,-31,0.50,-25
2019-11-23 03:00:00,-20,-22,-20,-19,4.5,-10
2019-11-24 03:00:00,-9,-9,-7,-15,2.3,3.7
2019-11-25 03:00:00,-22,-22,-29,-21,0,-13
2019-11-26 03:00:00,-18,-19,-25,-20,4.5,-7
2019-11-29 03:00:00,17,20,22,22,25,6.2
2019-11-30 03:00:00,-10,-8,-9,-13,8.2,5.7
2019-12-01 03:00:00,-11,-9,-5,-9,17,-3
2019-12-02 03:00:00,-4,0.62,-8,-1,8.8,12
2019-12-03 03:00:00,-43,-43,-46,-49,-28,-7
2019-12-18 03:00:00,-30,-30,-25,-39,-3,-4
2019-12-19 03:00:00,-3,0.82,0,-13,6.1,-1
2019-12-20 03:00:00,-7,-7,9.9,-18,5.8,-5
2019-12-23 03:00:00,3.2,-4,14,0,13,15
2019-12-24 03:00:00,-39,-41,-37,-48,-28,3.4
2019-12-29 03:00:00,-17,-20,-10,-19,5.8,-9
2019-12-30 03:00:00,-25,-27,-25,-27,-3,-6
2020-01-03 03:00:00,-18,-16,-27,-21,6.7,1.0
2020-01-04 03:00:00,-46,-46,-49,-46,-26,-32
2020-01-05 03:00:00,-36,-34,-36,-33,0.86,-14
2020-01-06 03:00:00,-22,-20,-31,-30,0,-6
2020-01-07 03:00:00,-4,-2,-6,-1,24,-11
2020-01-08 03:00:00,-20,-21,-11,-29,3.4,6.3
2020-01-09 03:00:00,33,29,16,36,29,16
2020-01-11 03:00:00,-1,-2,-15,-4,12,17
2020-01-12 03:00:00,8.8,5.1,-10,9.3,20,6
2020-01-13 03:00:00,-9,-7,-21,-27,6.1,2.8
2020-01-14 03:00:00,-1,8.2,-7,-1,15,-4
