"Time","X Rate","Y Rate","Z Rate"
2021-08-31 03:00:00,0.034,0,0
2021-09-02 03:00:00,0,0,0
2021-09-05 03:00:00,0,0,0
2021-12-13 03:00:00,0,0,0
2021-12-15 03:00:00,0,0,0
2021-12-20 03:00:00,0,0,2.7
2021-12-22 03:00:00,0,0.026,0
2021-12-23 03:00:00,0,0,0
2021-12-24 03:00:00,0,0,0
2021-12-25 03:00:00,0,0,0
2021-12-26 03:00:00,0,0.081,0
2021-12-27 03:00:00,0,0,0
2021-12-28 03:00:00,0,0,0
2021-12-29 03:00:00,0,0,0
2021-12-30 03:00:00,0,0,0
2021-12-31 03:00:00,0,0,0
2022-01-01 03:00:00,0,0,0
2022-01-02 03:00:00,0.45,0,3.4
2022-01-03 03:00:00,0,0,0
2022-01-04 03:00:00,0,0,0
2022-01-05 03:00:00,0,0,0
2022-01-06 03:00:00,0,0,0
2022-01-08 03:00:00,0,0,0
2022-01-11 03:00:00,0,0,0
2022-01-13 03:00:00,0,0,0
2022-01-14 03:00:00,0,0,0
2022-01-23 03:00:00,0.034,0,0
2022-01-27 03:00:00,0,0,0
2022-01-31 03:00:00,0,0,0
2022-02-01 03:00:00,0,0,0
2022-02-11 03:00:00,0,0,0.11
2022-02-14 03:00:00,0,-1,1.8
2022-02-19 03:00:00,0.45,0,2.4
2022-02-21 03:00:00,0.45,0,4.5
2022-03-15 03:00:00,0,0,0
2022-03-17 03:00:00,0,0,0
2022-03-23 03:00:00,0.45,0.45,3.1
2022-03-27 03:00:00,0,0,0
2022-04-14 03:00:00,0,0,0
2022-04-30 03:00:00,0,0,0
2022-05-04 03:00:00,0,0,0.013
2022-05-06 03:00:00,0,0,4.0
2022-05-11 03:00:00,0,0,0
2022-05-13 03:00:00,0,0.15,0
2022-05-17 03:00:00,0,0,0
2022-05-24 03:00:00,0,0,0
2022-05-25 03:00:00,0,0,0
2022-05-30 03:00:00,0,0,0
2022-06-11 03:00:00,0,0,0
2022-06-13 03:00:00,0,0.053,0
2022-06-16 03:00:00,0,-1,0
2022-06-18 03:00:00,0,0,0
2022-06-22 03:00:00,0,0,0
2022-06-23 03:00:00,0,0,0
2022-06-25 03:00:00,0,0,0
2022-06-26 03:00:00,0,0,0
2022-06-27 03:00:00,0,0.090,0
2022-06-28 03:00:00,0,0.15,0
2022-06-29 03:00:00,0,0.056,0
2022-06-30 03:00:00,0,-1,1.8
2022-07-01 03:00:00,0.090,0,0
2022-07-02 03:00:00,0.45,0,0
2022-07-04 03:00:00,0,0.45,1.1
2022-07-05 03:00:00,-1,0,2.0
2022-07-06 03:00:00,0,0,0.45
2022-07-11 03:00:00,0,0,0
2022-07-12 03:00:00,0,0,0
2022-07-13 03:00:00,0,0,0
2022-07-19 03:00:00,0,-1,1.2
2022-07-20 03:00:00,0,0,0.45
2022-08-04 03:00:00,0,0,0
2022-08-08 03:00:00,0,0,0
2022-08-09 03:00:00,0,0,0.037
2022-08-12 03:00:00,0,0,0
2022-08-14 03:00:00,0,0,0
2022-08-20 03:00:00,0,0,0
2022-08-22 03:00:00,0,0,-3
2022-08-23 03:00:00,0,0,0
2022-08-25 03:00:00,0,0,0
2022-08-26 03:00:00,0,0,0.45
2022-08-27 03:00:00,0,0,0
2022-08-29 03:00:00,0,0,0
2022-08-30 03:00:00,0,-1,2.7
2022-08-31 03:00:00,0,0,0
2022-09-01 03:00:00,0,0,0.45
2022-09-02 03:00:00,0,0,-1
2022-09-03 03:00:00,0,0,0
2022-09-04 03:00:00,0,0,0
2022-09-06 03:00:00,0,0,0
2022-09-08 03:00:00,0,0,-1
2022-09-09 03:00:00,0,0,0
2022-09-10 03:00:00,0,0,0
2022-09-11 03:00:00,0,0,0
2022-09-12 03:00:00,0,0,0
2022-09-13 03:00:00,0,0.13,0
2022-09-14 03:00:00,0,0,0
2022-09-15 03:00:00,0,0,0
2022-09-16 03:00:00,0.16,0.28,1.3
2022-09-17 03:00:00,0,0,0
2022-09-18 03:00:00,0,0,0
2022-09-20 03:00:00,0.090,0,0
2022-09-21 03:00:00,0,0,0
2022-09-24 03:00:00,0,0,0.65
2022-09-26 03:00:00,0,0,0
2022-09-27 03:00:00,0,0.28,0
2022-09-29 03:00:00,0,0,0
2022-09-30 03:00:00,0.45,0,0
2022-10-01 03:00:00,0.13,0,0
2022-10-02 03:00:00,0.27,0,0
2022-10-03 03:00:00,0.22,0.22,0
2022-10-04 03:00:00,0.25,0,0.56
2022-10-05 03:00:00,0.22,0,0.056
2022-10-06 03:00:00,0.32,0.45,0
2022-10-07 03:00:00,0.30,0,0
2022-10-08 03:00:00,0.45,0,0
2022-10-09 03:00:00,0.39,0,0
2022-10-10 03:00:00,0.36,0,0
2022-10-11 03:00:00,0.45,0,0
2022-10-13 03:00:00,0.20,0,0
2022-10-14 03:00:00,0.18,0,0.045
2022-10-15 03:00:00,0.22,0,0
2022-10-16 03:00:00,0.15,-1,2.7
2022-10-17 03:00:00,0.55,0,0
2022-10-18 03:00:00,0.015,0,0.52
2022-10-19 03:00:00,0.45,0,-1
2022-10-21 03:00:00,0.24,0,0
2022-10-22 03:00:00,0.25,0,0
2022-10-24 03:00:00,0,0,0
2022-10-25 03:00:00,0.12,0,0
2022-10-26 03:00:00,0.26,0,0
2022-10-27 03:00:00,0,0,0
2022-10-28 03:00:00,0.15,0,0
2022-10-29 03:00:00,0.30,0.060,0
2022-10-30 03:00:00,0.22,0,0
2022-10-31 03:00:00,0.45,0,0
2022-11-01 03:00:00,0,0.15,0
2022-11-02 03:00:00,0,0,0
2022-11-03 03:00:00,0.34,0,0
2022-11-04 03:00:00,0,-1,3.3
2022-11-07 03:00:00,0,0.45,0
2022-11-11 03:00:00,0,0.90,0
2022-11-12 03:00:00,0.85,0.99,-1
2022-11-13 03:00:00,0,0.67,-4
2022-11-14 03:00:00,0,0.52,0
2022-11-15 03:00:00,1.4,-1,-1

