"Time","Y Torquer Voltage (V)","Y Torquer Current (A)"
2019-12-19 03:00:00,0,4.0
2019-12-20 03:00:00,-1,1.1
2019-12-23 03:00:00,-1,1.5
2019-12-24 03:00:00,-1,1.1
2019-12-29 03:00:00,0,3.9
2019-12-30 03:00:00,0.19,3.6
2020-01-03 03:00:00,0,2.9
2020-01-04 03:00:00,0,1.5
2020-01-05 03:00:00,-2,1.8
2020-01-06 03:00:00,-1,1.6
2020-01-07 03:00:00,-2,1.1
2020-01-08 03:00:00,-1,1.8
2020-01-09 03:00:00,-2,0.83
2020-01-11 03:00:00,0,4.0
2020-01-12 03:00:00,0,4.0
2020-01-13 03:00:00,0,4.0
2020-01-14 03:00:00,-1,1.8
2020-01-15 03:00:00,0,2.7
2020-01-16 03:00:00,-3,0.084
2020-01-21 03:00:00,-1,1.3
2020-01-22 03:00:00,0.18,2.2
2020-01-24 03:00:00,-3,0.094
2020-01-25 03:00:00,-2,0.64
2020-01-26 03:00:00,-1,2.3
2020-01-27 03:00:00,0.039,4.0
2020-01-28 03:00:00,0,3.8
2020-01-29 03:00:00,-1,1.5
2020-01-30 03:00:00,0,3.4
2020-01-31 03:00:00,0,2.7
2020-02-01 03:00:00,0.34,2.4
2020-02-02 03:00:00,0,4.0
2020-02-04 03:00:00,-1,1.6
2020-02-05 03:00:00,-2,1.1
2020-02-06 03:00:00,-3,0.53
2020-02-08 03:00:00,0,4.0
2020-02-13 03:00:00,-3,0.094
2020-02-15 03:00:00,0.34,3.6
2020-02-16 03:00:00,0,4.0
2020-02-17 03:00:00,0,4.0
2020-02-24 03:00:00,3,3.9
2020-03-01 03:00:00,0,4.0
2020-03-08 03:00:00,0,4.0
2020-03-09 03:00:00,0,3.4
2020-03-10 03:00:00,-1,1.8
2020-03-11 03:00:00,-1,2.2
2020-03-12 03:00:00,0.75,3.4
2020-03-13 03:00:00,0.043,3.8
2020-03-14 03:00:00,0.37,3.3
2020-03-15 03:00:00,-1,3.3
2020-03-16 03:00:00,0,2.8
2020-03-17 03:00:00,0,3.6
2020-03-18 03:00:00,-1,3.3
2020-03-21 03:00:00,0.58,3.4
2020-03-25 03:00:00,0,4.0
2020-03-27 03:00:00,0,4.0
2020-03-30 03:00:00,0,4.0
2020-04-01 03:00:00,0,4.0
2020-04-24 03:00:00,0,4.0
2020-05-04 03:00:00,2.0,3.2
2020-05-05 03:00:00,0,1.8
2020-05-06 03:00:00,-1,2.0
2020-05-07 03:00:00,-1,1.1
2020-05-08 03:00:00,3,3.9
2020-05-10 03:00:00,0.22,2.2
2020-05-11 03:00:00,-3,0.094
2020-05-12 03:00:00,0.52,4.0
2020-09-26 03:00:00,-2,0.86
2020-10-02 03:00:00,0.72,3.0
2020-10-03 03:00:00,-1,2.9
2020-10-04 03:00:00,0,4.0
2020-11-26 03:00:00,-2,0.78
2020-12-08 03:00:00,2.9,3.9
2020-12-13 03:00:00,0,4.0
2020-12-22 03:00:00,0.92,2.6
2020-12-31 03:00:00,-3,0.094
2021-01-05 03:00:00,0,4.0
2021-01-08 03:00:00,0,4.0
2021-01-09 03:00:00,2.1,3.4
2021-02-04 03:00:00,-1,1.4
2021-02-21 03:00:00,0,4.0
2021-03-01 03:00:00,0,4.0
2021-03-02 03:00:00,0,4.0
2021-03-06 03:00:00,0.73,3.0
2021-03-07 03:00:00,-1,1.9
2021-03-10 03:00:00,0,4.0
2021-03-16 03:00:00,2.9,3.9
2021-03-17 03:00:00,0.97,2.4
2021-04-15 03:00:00,-3,0.094
2021-04-20 03:00:00,0,4.0
2021-05-02 03:00:00,0,4.0
2021-05-04 03:00:00,0,4.0
2021-05-06 03:00:00,0,4.0
2021-05-26 03:00:00,0,4.0
2021-06-21 03:00:00,0,4.0
2021-06-23 03:00:00,0,4.0
2021-06-25 03:00:00,0.73,2.5
2021-06-27 03:00:00,-2,1.5
2021-06-28 03:00:00,-1,1.9
2021-06-29 03:00:00,0,4.0
2021-06-30 03:00:00,0,3.3
2021-07-02 03:00:00,0,4.0
2021-07-03 03:00:00,-3,0.094
2021-07-04 03:00:00,-2,0.72
2021-07-13 03:00:00,0,2.5
2021-07-18 03:00:00,0,4.0
2021-07-19 03:00:00,0.12,4.0
2021-07-25 03:00:00,0,4.0
2021-07-26 03:00:00,0,4.0
2021-08-01 03:00:00,0,4.0
2021-08-06 03:00:00,-1,1.5
2021-08-07 03:00:00,0,4.0
2021-08-09 03:00:00,0.20,2.2
2021-08-13 03:00:00,0,4.0
2021-08-16 03:00:00,0,2.0
2021-08-24 03:00:00,2.2,3.9
2021-08-27 03:00:00,-1,1.4
2021-08-28 03:00:00,1,2.5
2021-08-31 03:00:00,-3,0.094
2021-09-02 03:00:00,-1,1.2
2021-09-05 03:00:00,-3,0.094
2021-12-13 03:00:00,-3,0.094
2021-12-15 03:00:00,-3,0.094
2021-12-20 03:00:00,0,4.0
2021-12-22 03:00:00,0,4.0
2021-12-23 03:00:00,0.77,3.0
2021-12-24 03:00:00,-2,0.72
2021-12-25 03:00:00,-1,1.3
2021-12-26 03:00:00,1.5,2.8
2021-12-27 03:00:00,-2,0.54
2021-12-28 03:00:00,1.4,2.9
2021-12-29 03:00:00,0,2.1
2021-12-30 03:00:00,0,3.8
2021-12-31 03:00:00,0,3.6
2022-01-01 03:00:00,0,1.8
2022-01-02 03:00:00,0,4.0
2022-01-03 03:00:00,-1,1.4
2022-01-04 03:00:00,0,2.3
2022-01-05 03:00:00,-1,1.5
2022-01-06 03:00:00,0.53,2.4
2022-01-08 03:00:00,0.026,3.7
2022-01-11 03:00:00,-3,0.094
2022-01-13 03:00:00,-1,1.3
2022-01-14 03:00:00,0.11,2.6
2022-01-23 03:00:00,-2,0.53
2022-01-27 03:00:00,0,4.0
2022-01-31 03:00:00,-1,1.2
2022-02-01 03:00:00,-2,0.055
2022-02-11 03:00:00,-1,3.0
2022-02-14 03:00:00,0,4.0
2022-02-19 03:00:00,0,4.0
2022-02-21 03:00:00,2.8,3.9
2022-03-15 03:00:00,-3,0.094
2022-03-17 03:00:00,0.90,2.6
2022-03-23 03:00:00,-3,0.094
2022-03-27 03:00:00,2.9,3.9
2022-04-14 03:00:00,3.1,3.9
2022-04-30 03:00:00,0,4.0
2022-05-04 03:00:00,2.3,3.9
2022-05-06 03:00:00,2.8,3.9
2022-05-11 03:00:00,0,4.0
2022-05-13 03:00:00,-1,1.4
2022-05-17 03:00:00,0,4.0
2022-05-24 03:00:00,3,3.9
2022-05-25 03:00:00,-3,0.094
2022-05-30 03:00:00,-2,0.43
2022-06-11 03:00:00,0,4.0
2022-06-13 03:00:00,-1,1.2
2022-06-16 03:00:00,0,4.0
2022-06-18 03:00:00,2.0,3.3
2022-06-22 03:00:00,2.4,3.3
2022-06-23 03:00:00,0,4.0
2022-06-25 03:00:00,-3,0.094
2022-06-26 03:00:00,0.73,3.3
2022-06-27 03:00:00,0,4.0
2022-06-28 03:00:00,0.83,4.0
2022-06-29 03:00:00,0,4.0
2022-06-30 03:00:00,0,4.0
2022-07-01 03:00:00,-3,0.094
2022-07-02 03:00:00,0,4.0
2022-07-04 03:00:00,0,4.0
2022-07-05 03:00:00,0.31,2.5
2022-07-06 03:00:00,-3,0.094
2022-07-11 03:00:00,-3,0.094
2022-07-12 03:00:00,2.9,3.9
