"Time","X Torquer Voltage (V)","X Torquer Current (A)"
2022-05-11 03:00:00,0,4.0
2022-05-13 03:00:00,-3,0.094
2022-05-17 03:00:00,0,4.0
2022-05-24 03:00:00,-1,1.4
2022-05-25 03:00:00,-3,0.094
2022-05-30 03:00:00,0.64,2.5
2022-06-11 03:00:00,0,4.0
2022-06-13 03:00:00,1.4,2.8
2022-06-16 03:00:00,0,4.0
2022-06-18 03:00:00,-1,1.5
2022-06-22 03:00:00,-3,0.092
2022-06-23 03:00:00,0,4.0
2022-06-25 03:00:00,2.3,3.9
2022-06-26 03:00:00,1.4,3.9
2022-06-27 03:00:00,0,4.0
2022-06-28 03:00:00,0,4.0
2022-06-29 03:00:00,0,4.0
2022-06-30 03:00:00,0,4.0
2022-07-01 03:00:00,0.55,2.4
2022-07-02 03:00:00,0,4.0
2022-07-04 03:00:00,0,4.0
2022-07-05 03:00:00,0,2.0
2022-07-06 03:00:00,-3,0.094
2022-07-11 03:00:00,2.9,3.9
2022-07-12 03:00:00,0.075,2.4
2022-07-13 03:00:00,2.9,3.9
2022-07-19 03:00:00,0.013,2.7
2022-07-20 03:00:00,-3,0.094
2022-08-04 03:00:00,0,4.0
2022-08-08 03:00:00,0,4.0
2022-08-09 03:00:00,0,4.0
2022-08-12 03:00:00,0,4.0
2022-08-14 03:00:00,0,4.0
2022-08-20 03:00:00,0,4.0
2022-08-22 03:00:00,0.29,4.0
2022-08-23 03:00:00,0,4.0
2022-08-25 03:00:00,0,4.0
2022-08-26 03:00:00,0,4.0
2022-08-27 03:00:00,0.96,2.6
2022-08-29 03:00:00,2.9,3.9
2022-08-30 03:00:00,-1,2.0
2022-08-31 03:00:00,2.9,3.9
2022-09-01 03:00:00,0,4.0
2022-09-02 03:00:00,0,4.0
2022-09-03 03:00:00,0,4.0
2022-09-04 03:00:00,0,4.0
2022-09-06 03:00:00,0,4.0
2022-09-08 03:00:00,2.2,3.3
2022-09-09 03:00:00,3,3.9
2022-09-10 03:00:00,2.3,3.4
2022-09-11 03:00:00,-1,1.6
2022-09-12 03:00:00,2.4,3.5
2022-09-13 03:00:00,0.38,2.3
2022-09-14 03:00:00,1.4,2.9
2022-09-15 03:00:00,3.0,3.9
2022-09-16 03:00:00,0,4.0
2022-09-17 03:00:00,0,4.0
2022-09-18 03:00:00,0.66,4.0
2022-09-20 03:00:00,0,4.0
2022-09-21 03:00:00,0,4.0
2022-09-24 03:00:00,-2,0.99
2022-09-26 03:00:00,-3,0.094
2022-09-27 03:00:00,0.26,2.2
2022-09-29 03:00:00,-3,0.094
2022-09-30 03:00:00,-3,0.094
2022-10-01 03:00:00,0,4.0
2022-10-02 03:00:00,1.3,3.0
2022-10-03 03:00:00,2.5,3.9
2022-10-04 03:00:00,0.61,3.0
2022-10-05 03:00:00,0,2.0
2022-10-06 03:00:00,0,4.0
2022-10-07 03:00:00,0,4.0
2022-10-08 03:00:00,0,4.0
2022-10-09 03:00:00,2.2,3.4
2022-10-10 03:00:00,0,4.0
2022-10-11 03:00:00,0,4.0
2022-10-13 03:00:00,0,1.8
2022-10-14 03:00:00,-3,0.083
2022-10-15 03:00:00,0,2.0
2022-10-16 03:00:00,0.92,2.6
2022-10-17 03:00:00,-1,1.2
2022-10-18 03:00:00,0,4.0
2022-10-19 03:00:00,0,4.0
2022-10-21 03:00:00,0.082,4.0
2022-10-22 03:00:00,2.3,3.5
2022-10-24 03:00:00,1.9,3.1
2022-10-25 03:00:00,-1,1.5
2022-10-26 03:00:00,2.7,3.6
2022-10-27 03:00:00,0,4.0
2022-10-28 03:00:00,0,4.0
2022-10-29 03:00:00,0,4.0
2022-10-30 03:00:00,0.95,2.8
2022-10-31 03:00:00,-3,0.094
2022-11-01 03:00:00,0,2.7
2022-11-02 03:00:00,0,2.0
2022-11-03 03:00:00,0,2.0
2022-11-04 03:00:00,0,4.0
2022-11-07 03:00:00,0,2.0
2022-11-11 03:00:00,0,4.0
2022-11-12 03:00:00,0,4.0
2022-11-13 03:00:00,0,4.0
2022-11-14 03:00:00,-1,3.1
2022-11-15 03:00:00,0,4.0

